,id_nombre,nombre,id_ciudad,ciudad,categories,analisis_sentimientos,puntuacion_usuarios,anio,Good_Punctuation
667,5fe4,Fortunato's Italian Market,9EV3,San Petersburgo,"Pizza, Restaurants, Italian, Chicken Wings",1.0,5.0,2011,True
677,6102,Marketplace Express,9EV3,San Petersburgo,"Specialty Food, Food, Restaurants, Convenience Stores, Sandwiches",1.0,2.0,2011,False
680,6188,Jo-Jo's In Citta,9EV3,San Petersburgo,"Pizza, Italian, Restaurants",1.0,3.3,2011,False
682,61ba,Doe Doe's Diner,9EV3,San Petersburgo,"Coffee & Tea, Breakfast & Brunch, Restaurants, Food",1.0,4.0,2011,True
688,6252,Parkshore Grill,9EV3,San Petersburgo,"Caterers, American (New), Food, Seafood, American (Traditional), Restaurants, Event Planning & Services, Steakhouses",1.0,3.0,2011,False
698,6435,Dooners,9EV3,San Petersburgo,"Fast Food, Turkish, German, Greek, Mediterranean, Restaurants",1.0,3.8,2011,False
718,6655,Kahwa Coffee,9EV3,San Petersburgo,"Desserts, Food, Coffee & Tea, Sandwiches, Restaurants",1.0,5.0,2011,True
725,66e0,The Melting Pot,9EV3,San Petersburgo,"American (New), Fondue, Gluten-Free, Restaurants, Salad",1.0,5.0,2011,True
743,6948,Burger King,9EV3,San Petersburgo,"Burgers, Restaurants, Fast Food, Hot Dogs",1.0,2.4,2011,False
758,6aea,Moscato's Bella Cucina,9EV3,San Petersburgo,"Restaurants, Italian",1.0,3.2,2011,False
760,6af8,Dairy Inn,9EV3,San Petersburgo,"Restaurants, Ice Cream & Frozen Yogurt, Chicken Wings, Food, Sandwiches, Hot Dogs, Comfort Food, Burgers",1.0,3.7,2011,False
771,6c1b,Athenian Garden,9EV3,San Petersburgo,"Greek, Restaurants",1.0,3.8,2011,False
774,6cc4,The Queenshead Eurobar,9EV3,San Petersburgo,"Bars, British, Breakfast & Brunch, Nightlife, Pubs, American (Traditional), Gastropubs, Restaurants",1.0,4.7,2011,True
777,6d92,Paisano's Pizza N Pasta,9EV3,San Petersburgo,"Restaurants, Nightlife, Bars, Pizza, Italian",1.0,3.7,2011,False
784,6e5a,Gyros & Seafood Express,9EV3,San Petersburgo,"Restaurants, Seafood, Greek, Chicken Wings",1.0,4.0,2011,True
786,6e93,Courigan's Irish Pub,9EV3,San Petersburgo,"Bars, Restaurants, Pubs, Irish, Nightlife, Irish Pub, Sports Bars",1.0,4.0,2011,True
806,713a,Cali - Saint Petersburg,9EV3,San Petersburgo,"Restaurants, Wraps, Juice Bars & Smoothies, Food, American (New), Mediterranean, Breakfast & Brunch, Gluten-Free, Pizza",1.0,3.3,2011,False
808,71b5,Ichiban Japanese Restaurant & Sushi Bar,9EV3,San Petersburgo,"Sushi Bars, Japanese, Restaurants, Thai",1.0,4.0,2011,True
828,75bd,China Crossings,9EV3,San Petersburgo,"Restaurants, Chinese",1.0,4.0,2011,True
830,7609,Paulo's Pizza,9EV3,San Petersburgo,"Restaurants, Pizza",1.0,3.0,2011,False
831,765c,Alésia Restaurant,9EV3,San Petersburgo,"Restaurants, Vietnamese, French, Chinese",1.0,4.9,2011,True
834,7794,Hong Kong Restaurant,9EV3,San Petersburgo,"Restaurants, Chinese",1.0,4.0,2011,True
845,79f9,Leafy Greens Cafe,9EV3,San Petersburgo,"Soup, Gluten-Free, Breakfast & Brunch, Vegetarian, Vegan, Restaurants",1.0,3.8,2011,False
853,7b69,Fire Monkey Food Truck,9EV3,San Petersburgo,"Food, Street Vendors, Caribbean, Food Trucks, Restaurants",1.0,4.0,2011,True
867,7e22,The Avenue DTSP,9EV3,San Petersburgo,"Dive Bars, Burgers, Cocktail Bars, American (Traditional), American (New), Bars, Restaurants, Nightlife",1.0,2.5,2011,False
881,7fcb,Shep's Food Mart,9EV3,San Petersburgo,"Grocery, Delis, Food, Beer, Wine & Spirits, Restaurants",1.0,5.0,2011,True
897,8299,Ai Mei Thai Restaurant,9EV3,San Petersburgo,"Thai, Restaurants",1.0,1.5,2011,False
923,8635,Luckie B's,9EV3,San Petersburgo,"Barbeque, Restaurants",1.0,3.5,2011,False
937,8803,Crab Shack Restaurant,9EV3,San Petersburgo,"Seafood, Restaurants",1.0,3.7,2011,False
952,8ad7,Stone Soup Cafe,9EV3,San Petersburgo,"Nightlife, Sandwiches, Soup, Salad, Restaurants, Bars, Food, Beer Bar, Pubs, Beer, Wine & Spirits, British",1.0,3.7,2011,False
987,8f64,Kahuna's Bar And Grill,9EV3,San Petersburgo,"Burgers, Sports Bars, Mexican, Nightlife, Restaurants, Bars",1.0,4.0,2011,True
989,8fb5,Cha Cha Coconuts Tropical Bar & Grill,9EV3,San Petersburgo,"Restaurants, Caribbean",1.0,2.6,2011,False
993,900b,India Grill,9EV3,San Petersburgo,"Pakistani, Restaurants, Indian",1.0,3.7,2011,False
1036,989d,Hooks Sushi Bar & Thai Food,9EV3,San Petersburgo,"Chinese, Japanese, Sushi Bars, Restaurants, Thai",1.0,4.3,2011,True
1038,98dc,Pincho Y Pincho,9EV3,San Petersburgo,"Spanish, Basque, Restaurants, Tapas Bars",1.0,4.0,2011,True
1043,9946,Sila Thai Restaurant,9EV3,San Petersburgo,"Noodles, Restaurants, Thai, Food",1.0,4.5,2011,True
1051,99e3,Schakolad Chocolate Factory,9EV3,San Petersburgo,"Food, Coffee & Tea, Specialty Food, Chocolatiers & Shops, Restaurants, Desserts",1.0,4.5,2011,True
1070,9d34,Joans Ann Bakery,9EV3,San Petersburgo,"Bakeries, Food, Restaurants",1.0,4.0,2011,True
1085,a021,Kissin' Cuzzins,9EV3,San Petersburgo,"Restaurants, Breakfast & Brunch, Diners, Sandwiches, Wraps",1.0,3.8,2011,False
1091,a12c,Munch's Sundries & Restaurant,9EV3,San Petersburgo,"Sandwiches, Restaurants, Breakfast & Brunch",1.0,2.8,2011,False
1094,a1c2,Georgie's Alibi,9EV3,San Petersburgo,"Dance Clubs, Cafes, Bars, Nightlife, Restaurants, Sports Bars, American (Traditional), Gastropubs, Burgers",1.0,4.2,2011,True
1117,a44f,New York Bagel Shops,9EV3,San Petersburgo,"Restaurants, Food, Bagels",0.5,1.0,2011,False
1123,a5be,Athenian's Gyros & Chicken,9EV3,San Petersburgo,"Middle Eastern, Greek, Restaurants, Mediterranean",1.0,4.0,2011,True
1133,a82a,Portofino Italian Ristorante,9EV3,San Petersburgo,"Pizza, Restaurants, Food Delivery Services, Italian, Breakfast & Brunch, Food",0.5,1.0,2011,False
1135,a8a8,Randy's West Indian Restaurant,9EV3,San Petersburgo,"Caribbean, Trinidadian, Restaurants, Indian",1.0,2.3,2011,False
1137,a8be,Thuy Cafe,9EV3,San Petersburgo,"Bubble Tea, Vietnamese, Restaurants, Food, Sandwiches",1.0,3.9,2011,False
1141,a95f,St. Pete Bagel Co.,9EV3,San Petersburgo,"Sandwiches, Restaurants, Bagels, Food, Donuts, Coffee & Tea",1.0,4.2,2011,True
1153,abe7,Thai Kitchen,9EV3,San Petersburgo,"Restaurants, Thai",1.0,3.4,2011,False
1161,ad2f,Tick Tock Restaurant,9EV3,San Petersburgo,"American (New), Breakfast & Brunch, Restaurants, Diners",1.0,3.4,2011,False
1177,b029,Casita Taqueria,9EV3,San Petersburgo,"Restaurants, Mexican, Food",1.0,4.4,2011,True
1196,b2fc,Kristina's Cafe,9EV3,San Petersburgo,"American (Traditional), Restaurants, Diners",1.0,3.0,2011,False
1200,b34e,Banyan Cafe & Catering,9EV3,San Petersburgo,"Food, Breakfast & Brunch, Coffee & Tea, Restaurants",1.0,4.7,2011,True
1242,b990,Craftsman House Gallery & Cafe,9EV3,San Petersburgo,"Arts & Entertainment, Restaurants, Art Galleries, American (New), Cafes, Shopping",1.0,5.0,2011,True
1250,bad9,Cuban Delight Cafe,9EV3,San Petersburgo,"Cuban, Restaurants",1.0,2.0,2011,False
1272,be49,Babalu,9EV3,San Petersburgo,"Nightlife, Burgers, Bars, American (Traditional), Restaurants",1.0,3.1,2011,False
1281,c028,Cafe Bohemia,9EV3,San Petersburgo,"Coffee & Tea, Art Galleries, Arts & Entertainment, Restaurants, Shopping, Beer, Wine & Spirits, Food",1.0,4.8,2011,True
1282,c034,Connie's Bar-B Q,9EV3,San Petersburgo,"Restaurants, Barbeque",1.0,4.0,2011,True
1288,c1e4,Derby Lane,9EV3,San Petersburgo,"Arts & Entertainment, Restaurants, Steakhouses",1.0,5.0,2011,True
1304,c43b,Dragon Phoenix Chinese,9EV3,San Petersburgo,"Chinese, Restaurants",1.0,3.0,2011,False
1310,c5f0,The King & I Restaurant,9EV3,San Petersburgo,"Restaurants, Thai",1.0,3.8,2011,False
1317,c693,Primi Urban Cafe,9EV3,San Petersburgo,"Italian, Nightlife, Restaurants, Piano Bars",1.0,3.0,2011,False
1323,c72c,Cafe Vienna,9EV3,San Petersburgo,"Breakfast & Brunch, German, Austrian, Restaurants",1.0,4.0,2011,True
1325,c770,Beachwood BBQ & Burger,9EV3,San Petersburgo,"Burgers, Restaurants, Barbeque",1.0,3.7,2011,False
1336,c820,Joey Brooklyn's Famous Pizza Kitchen,9EV3,San Petersburgo,"Sandwiches, Pizza, Restaurants, Salad",1.0,3.5,2011,False
1356,cb0f,Hoppy's Corned Beef Corner,9EV3,San Petersburgo,"Breakfast & Brunch, American (Traditional), Delis, Soup, Restaurants",1.0,4.0,2011,True
1366,ccc6,Burrito Boarder,9EV3,San Petersburgo,"Food, Restaurants, Specialty Food, Mexican",1.0,3.5,2011,False
1415,d639,Biff Burger & Buffy's BBQ,9EV3,San Petersburgo,"Burgers, Restaurants, Nightlife, Barbeque, Bars",1.0,4.0,2011,True
1433,d897,Sab Cafe,9EV3,San Petersburgo,"Vietnamese, Cafes, Restaurants, Asian Fusion, Thai",1.0,4.0,2011,True
1435,d8d9,Cakes by Carolynn A Special Touch,9EV3,San Petersburgo,"Bakeries, Restaurants, Food",1.0,2.0,2011,False
1443,d9fb,Lucky Star Chinese,9EV3,San Petersburgo,"Restaurants, Chinese",1.0,3.0,2011,False
1458,dc36,Art of Sushi,9EV3,San Petersburgo,"Restaurants, Sushi Bars, Asian Fusion, Japanese, Steakhouses",1.0,3.3,2011,False
1462,dc6a,"JO-EL'S Kosher Deli, Market & Café",9EV3,San Petersburgo,"Restaurants, Sandwiches, Food, Kosher, Delis, Food Delivery Services",1.0,4.0,2011,True
1471,de3e,Black Forest Cottage Restaurant,9EV3,San Petersburgo,"Food, Bakeries, German, Restaurants, Ice Cream & Frozen Yogurt",1.0,5.0,2011,True
1547,eaaa,Salem's Fresh Eats,9EV3,San Petersburgo,"Fast Food, Middle Eastern, Ethnic Food, Mediterranean, Chicken Wings, Diners, Seafood, Salad, Greek, Restaurants, Sandwiches, Specialty Food, Food",1.0,3.2,2011,False
1553,eb48,O' Bistro,9EV3,San Petersburgo,"American (New), Restaurants",1.0,4.2,2011,True
1556,ebc0,Donut Connection,9EV3,San Petersburgo,"Food, Restaurants, Donuts",1.0,4.5,2011,True
1597,f155,Museum of Fine Arts,9EV3,San Petersburgo,"Art Museums, Arts & Entertainment, Museums, Restaurants",1.0,4.0,2011,True
1623,f71b,Arby's,9EV3,San Petersburgo,"Sandwiches, Fast Food, Burgers, Restaurants",1.0,3.3,2011,False
1642,f9f0,Westy Grille and Pub,9EV3,San Petersburgo,"Bars, American (New), Pubs, Nightlife, Local Flavor, Restaurants",1.0,3.5,2011,False
1662,fc46,Nepa Hut Beach Bar,9EV3,San Petersburgo,"Event Planning & Services, Hotels, Bars, Hotels & Travel, Restaurants, Nightlife",1.0,5.0,2011,True
1676,feb0,Garden Restaurant,9EV3,San Petersburgo,"Food Delivery Services, Jazz & Blues, Food, American (Traditional), Arts & Entertainment, Mediterranean, Restaurants, Nightlife",1.0,3.1,2011,False
13,0124,Chopstick Express,9EV3,San Petersburgo,"Restaurants, Japanese, Chinese, Soup",1.0,4.0,2014,True
24,0261,Tsunami Japanese Steakhouse,9EV3,San Petersburgo,"Steakhouses, Restaurants, Sushi Bars, Japanese",1.0,3.4,2014,False
26,02a2,Cicis,9EV3,San Petersburgo,"American (Traditional), Pizza, Restaurants",1.0,3.0,2014,False
27,02a4,Lanna Thai and Sushi Restaurant,9EV3,San Petersburgo,"Thai, Restaurants",1.0,4.2,2014,True
41,03ff,The Moon Under Water,9EV3,San Petersburgo,"Nightlife, British, Pubs, Bars, Indian, Restaurants",1.0,3.5,2014,False
42,0449,Mid Peninsula Seafood,9EV3,San Petersburgo,"Restaurants, Seafood Markets, Food, Seafood, Specialty Food, Local Flavor",1.0,4.1,2014,True
46,04db,Central Coffee Shoppe,9EV3,San Petersburgo,"Breakfast & Brunch, Restaurants, Sandwiches, American (Traditional)",1.0,4.3,2014,True
50,04f1,Mekong Vietnamese Restaurant,9EV3,San Petersburgo,"Restaurants, Vietnamese",1.0,2.2,2014,False
77,0711,Angie's Cafe,9EV3,San Petersburgo,"Burgers, American (New), Restaurants",1.0,3.0,2014,False
87,07b3,The Chattaway,9EV3,San Petersburgo,"Restaurants, Venues & Event Spaces, Burgers, Event Planning & Services, American (Traditional)",1.0,3.7,2014,False
97,0888,Sunrise Lanes,9EV3,San Petersburgo,"Bars, American (Traditional), Venues & Event Spaces, Bowling, Event Planning & Services, Nightlife, Lounges, Restaurants, Active Life",1.0,4.0,2014,True
100,08ac,4th Street Shrimp Store,9EV3,San Petersburgo,"Restaurants, Nightlife, Burgers, Beer Bar, Bars, Seafood",1.0,3.5,2014,False
115,0970,Central Pizza & Subs,9EV3,San Petersburgo,"Pizza, Food Delivery Services, Food, Restaurants",1.0,2.3,2014,False
118,09a2,Bula Kafe,9EV3,San Petersburgo,"Nightlife, Lounges, Coffee & Tea, Cafes, Bars, Restaurants, Food",1.0,4.5,2014,True
131,0ae3,Harold Seltzer's Steak House,9EV3,San Petersburgo,"Restaurants, Steakhouses, American (Traditional), Seafood",1.0,3.3,2014,False
166,0e4b,Italia Mia,9EV3,San Petersburgo,"Pizza, Italian, Restaurants",1.0,3.9,2014,False
172,0ec9,Johnny's Mediterranean Pizza & Restaurant,9EV3,San Petersburgo,"Automotive, Gas Stations, Breakfast & Brunch, American (Traditional), Pizza, Restaurants",1.0,2.9,2014,False
211,1305,Ryan's Meat Market & Deli,9EV3,San Petersburgo,"Food, Restaurants, Specialty Food, Meat Shops, Delis",0.5,3.7,2014,False
222,1403,Bayway Country Store and Butcher Shop,9EV3,San Petersburgo,"Convenience Stores, Butcher, Food, Beer, Wine & Spirits, Delis, Restaurants",1.0,3.0,2014,False
227,147a,Zeko's Mediterranean Grill,9EV3,San Petersburgo,"Greek, Middle Eastern, Restaurants, Seafood, Mediterranean",1.0,4.2,2014,True
245,1651,Lorene's Fish & Crab House,9EV3,San Petersburgo,"Seafood, Restaurants",1.0,4.0,2014,True
273,18a0,Ha Long Bay,9EV3,San Petersburgo,"Asian Fusion, Restaurants, Cantonese, Dim Sum, Chinese, Vietnamese",1.0,3.6,2014,False
280,19cd,Fresco's Waterfront Bistro,9EV3,San Petersburgo,"Nightlife, Restaurants, Seafood, Bistros, American (Traditional), Bars",1.0,2.6,2014,False
295,1b19,Playerz Taphouse & Grill,9EV3,San Petersburgo,"Nightlife, American (Traditional), Restaurants, Bars, Sandwiches, Sports Bars",1.0,2.8,2014,False
313,1c0c,Great Wall,9EV3,San Petersburgo,"Chinese, Seafood, Restaurants, Soup",1.0,2.8,2014,False
315,1c1a,Bowled Restaurant,9EV3,San Petersburgo,"Restaurants, American (New)",1.0,5.0,2014,True
317,1c81,Salem's Gyro & Subs,9EV3,San Petersburgo,"American (New), Chicken Wings, Middle Eastern, Salad, Restaurants, Sandwiches, Greek",1.0,3.5,2014,False
329,1d5c,Publix - Saint Petersburg,9EV3,San Petersburgo,"Specialty Food, Delis, Food, Meat Shops, Restaurants, Grocery",1.0,2.5,2014,False
346,1edf,Caribbean Cafe,9EV3,San Petersburgo,"Restaurants, American (New)",1.0,2.5,2014,False
362,204d,Williams Sub Shop,9EV3,San Petersburgo,"Restaurants, Sandwiches",1.0,4.8,2014,True
376,21e9,Toby's Original Little Italy Pizza,9EV3,San Petersburgo,"Italian, Pizza, Restaurants",1.0,4.1,2014,True
384,2287,Ferg's Sports Bar & Grill,9EV3,San Petersburgo,"Restaurants, Nightlife, American (Traditional), Bars, Sports Bars",1.0,3.4,2014,False
399,23f6,Boardwalk Pasta & Seafood,9EV3,San Petersburgo,"Seafood, Beer, Wine & Spirits, American (New), Nightlife, Bars, American (Traditional), Food, Restaurants",1.0,4.1,2014,True
411,2547,Buffalo City Bar & Grille,9EV3,San Petersburgo,"Nightlife, Sports Bars, Bars, Restaurants, Dive Bars, American (Traditional)",1.0,3.5,2014,False
423,2642,Cafe Croissant,9EV3,San Petersburgo,"Food, Restaurants, Cafes, Bakeries, French",1.0,5.0,2014,True
472,2caf,A Corner of England,9EV3,San Petersburgo,"Food, Coffee & Tea, Tea Rooms, Restaurants, Shopping",1.0,3.0,2014,False
502,2fce,Fray's Donut House,9EV3,San Petersburgo,"Breakfast & Brunch, Coffee & Tea, Restaurants, Donuts, Food",1.0,4.2,2014,True
519,3156,Mad Fish,9EV3,San Petersburgo,"Restaurants, American (Traditional), Steakhouses, Seafood",1.0,4.2,2014,True
522,31a5,K C's Korner Restaurant,9EV3,San Petersburgo,"Breakfast & Brunch, Restaurants, American (Traditional)",1.0,4.0,2014,True
531,3219,Fish Tales,9EV3,San Petersburgo,"Bars, Seafood, Steakhouses, Nightlife, Restaurants, Dive Bars",1.0,3.6,2014,False
534,325a,"Westshore Pizza Southside, Inc",9EV3,San Petersburgo,"Restaurants, Pizza",1.0,2.6,2014,False
590,36af,Asian Wok,9EV3,San Petersburgo,"Restaurants, Chinese",1.0,3.2,2014,False
603,37d2,Mastry's,9EV3,San Petersburgo,"Bars, Restaurants, Nightlife, American (Traditional)",1.0,3.7,2014,False
625,39b9,McNally's Neighborhood Grill,9EV3,San Petersburgo,Restaurants,1.0,4.0,2014,True
646,3c6d,Yaya's Flame Broiled Chicken,9EV3,San Petersburgo,"Chicken Wings, Restaurants",1.0,4.0,2014,True
695,41bd,The Burg Bar & Grill,9EV3,San Petersburgo,"American (New), Nightlife, Restaurants, Bars, Food, Beer, Wine & Spirits, American (Traditional)",1.0,4.0,2014,True
709,432e,Pizza Hut,9EV3,San Petersburgo,"Restaurants, Chicken Wings, Pizza, Fast Food, Italian",1.0,2.2,2014,False
744,46ad,Smiley's Deli,9EV3,San Petersburgo,"Delis, Specialty Food, Restaurants, Food, Ethnic Food, Desserts, Latin American, Sandwiches",1.0,4.8,2014,True
745,46b7,Cafe Mozart,9EV3,San Petersburgo,"Food, Restaurants, Bakeries, Cafes",1.0,4.8,2014,True
751,4750,Spring Garden Family Restaurant,9EV3,San Petersburgo,"Restaurants, American (New), Comfort Food, Breakfast & Brunch",1.0,4.5,2014,True
779,4b72,The Kitchen,9EV3,San Petersburgo,"Bars, Restaurants, American (Traditional), Hookah Bars, American (New), Nightlife, Sandwiches",1.0,3.4,2014,False
783,4bde,Mazzaro's Italian Market,9EV3,San Petersburgo,"Specialty Food, Delis, Coffee Roasteries, Butcher, Meat Shops, Food, Restaurants, Grocery, Italian",1.0,4.5,2014,True
788,4c77,St Petersburg Pier,9EV3,San Petersburgo,"Local Flavor, Active Life, Tours, Hotels & Travel, American (Traditional), Arts & Crafts, Shopping, Restaurants, Arts & Entertainment, Aquariums",1.0,3.0,2014,False
821,4f71,Tour De Pizza,9EV3,San Petersburgo,"Breakfast & Brunch, Specialty Food, Food, Pizza, Food Delivery Services, Restaurants, Italian",1.0,4.2,2014,True
827,4fff,Sunset Grille,9EV3,San Petersburgo,"American (Traditional), Restaurants, Burgers",1.0,4.4,2014,True
871,53e7,Skyway Jack's,9EV3,San Petersburgo,"Breakfast & Brunch, Restaurants",1.0,4.2,2014,True
891,55ab,Chicago Deli,9EV3,San Petersburgo,"Restaurants, Delis",1.0,2.5,2014,False
915,57a9,Taps & Tequila,9EV3,San Petersburgo,"Tapas Bars, Nightlife, Champagne Bars, Pubs, American (Traditional), Restaurants, Bars, Lounges",1.0,4.0,2014,True
916,5804,Blue Nile,9EV3,San Petersburgo,"Restaurants, Food, Grocery, Burgers, Soul Food",1.0,5.0,2014,True
945,5a2b,PoFolks,9EV3,San Petersburgo,"American (Traditional), Restaurants, American (New), Southern",1.0,4.0,2014,True
956,5b58,Simply Delicious - Country Market & Deli,9EV3,San Petersburgo,"Restaurants, Delis, Cuban, Sandwiches, Spanish",1.0,5.0,2014,True
972,5c52,Thai Wok,9EV3,San Petersburgo,"Thai, Restaurants",1.0,4.5,2014,True
999,5f2a,Village Inn,9EV3,San Petersburgo,"American (Traditional), Restaurants, Breakfast & Brunch",1.0,3.0,2014,False
1006,5fbc,Highstone Cafe,9EV3,San Petersburgo,"Diners, Breakfast & Brunch, Restaurants, Cafes, American (Traditional), Local Flavor, Food",1.0,5.0,2014,True
1009,5fe4,Fortunato's Italian Market,9EV3,San Petersburgo,"Pizza, Restaurants, Italian, Chicken Wings",1.0,3.6,2014,False
1021,6102,Marketplace Express,9EV3,San Petersburgo,"Specialty Food, Food, Restaurants, Convenience Stores, Sandwiches",1.0,4.2,2014,True
1024,6188,Jo-Jo's In Citta,9EV3,San Petersburgo,"Pizza, Italian, Restaurants",1.0,4.0,2014,True
1026,61ba,Doe Doe's Diner,9EV3,San Petersburgo,"Coffee & Tea, Breakfast & Brunch, Restaurants, Food",1.0,4.3,2014,True
1034,6252,Parkshore Grill,9EV3,San Petersburgo,"Caterers, American (New), Food, Seafood, American (Traditional), Restaurants, Event Planning & Services, Steakhouses",1.0,3.5,2014,False
1038,62c3,Mario's NY Pizza,9EV3,San Petersburgo,"Restaurants, Pizza",1.0,3.6,2014,False
1053,6435,Dooners,9EV3,San Petersburgo,"Fast Food, Turkish, German, Greek, Mediterranean, Restaurants",1.0,3.7,2014,False
1056,6480,Sushi Zen,9EV3,San Petersburgo,"Sushi Bars, Korean, Restaurants",1.0,2.8,2014,False
1077,6655,Kahwa Coffee,9EV3,San Petersburgo,"Desserts, Food, Coffee & Tea, Sandwiches, Restaurants",1.0,4.2,2014,True
1086,66e0,The Melting Pot,9EV3,San Petersburgo,"American (New), Fondue, Gluten-Free, Restaurants, Salad",1.0,3.9,2014,False
1100,6806,Engine No 9,9EV3,San Petersburgo,"American (Traditional), Food, Burgers, Nightlife, Food Delivery Services, Sports Bars, Cajun/Creole, Bars, Restaurants, American (New), Pubs",1.0,4.4,2014,True
1127,6aea,Moscato's Bella Cucina,9EV3,San Petersburgo,"Restaurants, Italian",1.0,3.9,2014,False
1129,6af8,Dairy Inn,9EV3,San Petersburgo,"Restaurants, Ice Cream & Frozen Yogurt, Chicken Wings, Food, Sandwiches, Hot Dogs, Comfort Food, Burgers",1.0,3.9,2014,False
1146,6c1b,Athenian Garden,9EV3,San Petersburgo,"Specialty Food, Food, Ethnic Food, American (Traditional), Imported Food, Greek, Restaurants",1.0,3.8,2014,False
1153,6cc4,The Queenshead Eurobar,9EV3,San Petersburgo,"Bars, British, Breakfast & Brunch, Nightlife, Pubs, American (Traditional), Gastropubs, Restaurants",1.0,3.9,2014,False
1159,6d92,Paisano's Pizza N Pasta,9EV3,San Petersburgo,"Restaurants, Nightlife, Bars, Pizza, Italian",1.0,3.2,2014,False
1168,6e5a,Gyros & Seafood Express,9EV3,San Petersburgo,"Restaurants, Seafood, Greek, Chicken Wings",1.0,2.0,2014,False
1170,6e93,Courigan's Irish Pub,9EV3,San Petersburgo,"Bars, Restaurants, Pubs, Irish, Nightlife, Irish Pub, Sports Bars",1.0,3.8,2014,False
1179,6f3a,Periscope Restaurant,9EV3,San Petersburgo,"Hotels, Seafood, Hotels & Travel, Restaurants, Event Planning & Services, Nightlife, Bars, Diners",1.0,5.0,2014,True
1193,713a,Cali - Saint Petersburg,9EV3,San Petersburgo,"Restaurants, Wraps, Juice Bars & Smoothies, Food, American (New), Mediterranean, Breakfast & Brunch, Gluten-Free, Pizza",1.0,4.5,2014,True
1197,71b5,Ichiban Japanese Restaurant & Sushi Bar,9EV3,San Petersburgo,"Sushi Bars, Japanese, Restaurants, Thai",1.0,4.3,2014,True
1236,75bd,China Crossings,9EV3,San Petersburgo,"Restaurants, Chinese",1.0,3.0,2014,False
1238,7609,Paulo's Pizza,9EV3,San Petersburgo,"Restaurants, Pizza",1.0,4.5,2014,True
1242,765c,Alésia Restaurant,9EV3,San Petersburgo,"Restaurants, Vietnamese, French, Chinese",1.0,4.0,2014,True
1243,7667,Blowfish Bar & Grill,9EV3,San Petersburgo,"Bars, Nightlife, Music Venues, Seafood, American (Traditional), Restaurants, Arts & Entertainment, American (New)",1.0,3.7,2014,False
1271,79f9,Leafy Greens Cafe,9EV3,San Petersburgo,"Soup, Gluten-Free, Breakfast & Brunch, Vegetarian, Vegan, Restaurants",1.0,4.5,2014,True
1286,7b92,Elias Deli & Produce Market,9EV3,San Petersburgo,"Specialty Food, Fruits & Veggies, Restaurants, Food, Delis",1.0,5.0,2014,True
1308,7e22,The Avenue DTSP,9EV3,San Petersburgo,"Dive Bars, Burgers, Cocktail Bars, American (Traditional), American (New), Bars, Restaurants, Nightlife",1.0,3.8,2014,False
1330,7fcb,Shep's Food Mart,9EV3,San Petersburgo,"Grocery, Delis, Food, Beer, Wine & Spirits, Restaurants",1.0,4.9,2014,True
1389,8635,Luckie B's,9EV3,San Petersburgo,"Barbeque, Restaurants",1.0,3.3,2014,False
1412,8803,Crab Shack Restaurant,9EV3,San Petersburgo,"Seafood, Restaurants",1.0,3.6,2014,False
1427,8927,St. Petersburg Yacht Club,9EV3,San Petersburgo,"Event Planning & Services, Restaurants, American (Traditional), Active Life, Venues & Event Spaces, Boating",1.0,4.0,2014,True
1441,8ad7,Stone Soup Cafe,9EV3,San Petersburgo,"Nightlife, Sandwiches, Soup, Salad, Restaurants, Bars, Food, Beer Bar, Pubs, Beer, Wine & Spirits, British",1.0,3.8,2014,False
1445,8b45,Brew D Licious,9EV3,San Petersburgo,"Local Flavor, Cafes, Coffee & Tea, Restaurants, Food",1.0,4.6,2014,True
1473,8d66,Darrell and Sharon's Park Street Diner,9EV3,San Petersburgo,"American (Traditional), Breakfast & Brunch, Restaurants",1.0,4.5,2014,True
1496,8f64,Kahuna's Bar And Grill,9EV3,San Petersburgo,"Burgers, Sports Bars, Mexican, Nightlife, Restaurants, Bars",1.0,3.6,2014,False
1502,900b,India Grill,9EV3,San Petersburgo,"Pakistani, Restaurants, Indian",1.0,2.8,2014,False
1520,9281,Sangwich Block,9EV3,San Petersburgo,"Restaurants, Sandwiches",1.0,4.3,2014,True
1522,928e,Station House,9EV3,San Petersburgo,"Caterers, Nightlife, Home Services, Bars, American (New), Restaurants, Venues & Event Spaces, Hotels & Travel, Hotels, Real Estate, Coffee & Tea, Event Planning & Services, Tapas/Small Plates, Cocktail Bars, Food, Shared Office Spaces",1.0,5.0,2014,True
1527,9313,PDQ St. Petersburg,9EV3,San Petersburgo,"Fast Food, American (Traditional), Chicken Wings, Salad, Sandwiches, American (New), Food, Chicken Shop, Restaurants",1.0,4.2,2014,True
1585,989d,Hooks Sushi Bar & Thai Food,9EV3,San Petersburgo,"Chinese, Japanese, Sushi Bars, Restaurants, Thai",1.0,4.0,2014,True
1593,9946,Sila Thai Restaurant,9EV3,San Petersburgo,"Noodles, Restaurants, Thai, Food",1.0,4.1,2014,True
1601,99e3,Schakolad Chocolate Factory,9EV3,San Petersburgo,"Food, Coffee & Tea, Specialty Food, Chocolatiers & Shops, Restaurants, Desserts",1.0,3.8,2014,False
1640,9d34,Joans Ann Bakery,9EV3,San Petersburgo,"Bakeries, Food, Restaurants",1.0,3.5,2014,False
