id_centros_hosteleria,centros_hosteleria,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,categorias,puntuacion_usuarios,analisis_sentimientos,anio
NI4KX,Hotel Isis,17566 Gulf Blvd,wTq2,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,fkjQ,Redington Shores,33708,27.8261357,-82.8289923,Florida,"Hotels, Hotels & Travel, Event Planning & Services",4,positivo,2012
VO6AB,Residence Inn by Marriott St. Petersburg Treasure Island,11908 Gulf Blvd,fOTb,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,dEd9,Treasure Island,33706,27.7691937,-82.7689906,Florida,"Hotels & Travel, Event Planning & Services, Hotels",4.5,positivo,2012
B87TE,Motel 6 No 483,333 E Fowler Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Event Planning & Services, Hotels",1,positivo,2012
A6VBD,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy,cwIb,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,1GQ7,Lutz,"33548, 33549",28.1511243,-82.4614831,Florida,"Event Planning & Services, Hotels & Travel, Hotels, Venues & Event Spaces",3.5,positivo,2012
2PP31,Palm Court Motel,2090 Bayshore Blvd,AE6H,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,L2T6,Dunedin,34698,28.0197404,-82.7717684,Florida,"Hotels & Travel, Hotels, Event Planning & Services",4.5,positivo,2012
1J96W,Page Terrace Beachfront Hotel,10500 Gulf Blvd,fOTb,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,dEd9,Treasure Island,33706,27.7691937,-82.7689906,Florida,"Event Planning & Services, Hotels, Hotels & Travel",4,positivo,2012
WK0PD,North Sunrise Resort,669 Mandalay Ave,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Hotels & Travel, Event Planning & Services, Hotels",3,positivo,2012
WEJPW,Nepa Hut Beach Bar,6800 Sunshine Skyway Ln S,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Event Planning & Services, Hotels, Bars, Hotels & Travel, Restaurants, Nightlife",3.5,negativo,2012
BKGVL,National Car Rental,5405 Airport Service Rd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Car Rental",4,positivo,2012
L7GJJ,Marriott Tampa Westshore,1001 N Westshore Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Venues & Event Spaces, Hotels & Travel",3,negativo,2012
BPSB2,Marchand's Bar & Grill,501 5th Avenue NE,L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Seafood, Restaurants, Hotels & Travel, Nightlife, Event Planning & Services, Breakfast & Brunch, American (New), Lounges, Hotels, Bars, American (Traditional), Local Flavor",3.5,positivo,2012
3NUSO,Mangos Restaurant & Tiki Bar,17120 Gulf Blvd,iN2B,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,b1Dl,North Redington Beach,33708,27.8161361,-82.8206587,Florida,"Event Planning & Services, Bars, Nightlife, Hotels & Travel, Caribbean, Tiki Bars, Hotels, Restaurants, Steakhouses",3.5,positivo,2012
KB750,Pelican Pointe,445 S Gulfview Blvd,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Home Services, Condominiums, Hotels, Hotels & Travel, Real Estate, Event Planning & Services",4,positivo,2012
KIKHT,Peter O Knight Airport,825 Severn Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Airports, Hotels & Travel",5,positivo,2012
R823M,Renaissance Tampa International Plaza Hotel,4200 Jim Walter Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Event Planning & Services, Venues & Event Spaces, Hotels & Travel",4,positivo,2012
KDSAS,Pier Dolphin Cruises,"400 Second Ave NE, Ste 22",L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Whale Watching Tours, Hotels & Travel, Local Flavor, Boat Charters, Event Planning & Services, Historical Tours, Tours",4.5,positivo,2012
28XX1,Palm Crest Motel,3848 Gulf Blvd,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St. Pete Beach,33706,27.7428134,-82.7504542,Florida,"Hotels & Travel, Hotels, Event Planning & Services",5,positivo,2012
8SCB7,Red Roof Inn Tampa Fairgrounds - Casino,5001 N US Rte 301,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels & Travel, Hotels",2,positivo,2012
ONYP5,Red Roof Inn,2307 E Busch Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Event Planning & Services, Hotels & Travel",1.5,positivo,2012
79JG8,Ramada by Wyndham Tampa Airport Westshore,1200 West Shore Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Hotels & Travel",2,neutral,2012
0USYD,Quorum Tampa Westshore,700 N. Westshore Boulevard,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces, Resorts",3,positivo,2012
4NN14,Quality Inn Airport - Cruise Port,1020 S Dale Mabry,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Event Planning & Services, Hotels",2.5,negativo,2012
YEBX0,Quality Inn & Suites Near Fairgrounds Ybor City,4955 East 18th Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Hotels & Travel",2.5,positivo,2012
ZZAD1,Quality Inn & Suites At Tropicana Field,1400 34th St N,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Hotels, Event Planning & Services, Hotels & Travel",1.5,negativo,2012
4DXVC,Quality Inn & Conference Center,2701 E Fowler Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Hotels & Travel",2,negativo,2012
ZXMNJ,Ponce De Leon Hotel,95 Central Ave,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Event Planning & Services, Beaches, Hotels & Travel, Hotels, Bed & Breakfast, Active Life",2,positivo,2012
U1USG,Postcard Inn on the Beach,6300 Gulf Blvd,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St Pete Beach,33706,27.7428134,-82.7504542,Florida,"Resorts, Hotels, Hotels & Travel, Event Planning & Services",2.5,positivo,2012
KH3IW,Powerhouse Gym North Tampa,"13539 N Florida Ave, Ste 8",W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Active Life, Beauty & Spas, Tanning, Fitness & Instruction, Tanning Beds, Health Retreats, Gyms",3.5,positivo,2012
4OKSU,La Quinta by Wyndham St. Petersburg Northeast,6638 4th Street North,L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Hotels & Travel, Event Planning & Services, Hotels",2.5,positivo,2012
W0EKJ,Quality Hotel Clearwater Beach Resort,655 S Gulfview Blvd,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Hotels, Hotels & Travel, Event Planning & Services",3,positivo,2012
7E78U,Red Roof Inn Tampa - Brandon,10121 Horace Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels & Travel, Hotels",1.5,negativo,2012
M9HX4,Residence Inn by Marriott Clearwater Downtown,940 Court St,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Hotels, Hotels & Travel, Event Planning & Services",4.5,positivo,2012
WJKO4,Palm Pavilion Inn,18 Bay Esplanade,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Hotels, Hotels & Travel, Event Planning & Services",4.5,positivo,2012
BIY5S,Park EZ Fly,5524 W Cypress St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Automotive, Travel Services, Parking, Hotels & Travel",2.5,positivo,2012
FC55S,Residence Inn Tampa Oldsmar,4012 Tampa Rd,WAVo,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,96OP,Oldsmar,34677,28.0341847,-82.6650992,Florida,"Hotels & Travel, Hotels, Venues & Event Spaces, Event Planning & Services",4,positivo,2012
GK4GE,Sailport Waterfront Suites,2506 N Rocky Point Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Hotels & Travel, Event Planning & Services",3.5,positivo,2012
GAKS8,Sandpearl Resort,500 Mandalay Ave,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Event Planning & Services, Hotels, Hotels & Travel, Resorts",4,positivo,2012
65F6H,Residence Inn Tampa Downtown,101 E Tyler St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Event Planning & Services, Hotels, Venues & Event Spaces",3.5,positivo,2012
9C1RZ,Sandpiper Beach Resort,6000 Gulf Blvd,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St. Pete Beach,33706,27.7428134,-82.7504542,Florida,"Hotels, Hotels & Travel, Event Planning & Services",3.5,positivo,2012
ZR47Z,Southwest Airlines,4100 George J Bean Pkwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Transportation, Airlines",3,negativo,2012
LP4D5,South Beach Condo Hotel,11360 Gulf Blvd,fOTb,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,dEd9,Treasure Island,33706,27.7691937,-82.7689906,Florida,"Real Estate, Event Planning & Services, Hotels, Condominiums, Home Services, Hotels & Travel",3.5,positivo,2012
KIIIJ,Sonesta Simply Suites Clearwater,13231 49th St N,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces, Party & Event Planning",3.5,positivo,2012
J5IQK,Sleep Inn Near Busch Gardens - Usf,12282 Morris Bridge Rd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Hotels & Travel, Event Planning & Services",2.5,positivo,2012
8E0SC,Sirata Beach Resort,5300 Gulf Blvd,2BPR,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,emDA,St. Pete Beach,33706,27.7428134,-82.7504542,Florida,"Hotels, Event Planning & Services, Hotels & Travel",2.5,positivo,2012
GGM8A,Shula's Steak House,4860 W Kennedy Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Airports, American (Traditional), Restaurants, Steakhouses, Seafood",3,positivo,2012
N8HWA,Shoreline Island Resort,14200 Gulf Blvd,109T,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,SXN5,Madeira Beach,33708,27.7980814,-82.7973247,Florida,"Event Planning & Services, Vacation Rentals, Beaches, Hotels, Active Life, Hotels & Travel, Resorts",4,positivo,2012
PMRCS,Paradise Lakes Resort,2001 Paradise Lakes Blvd,cwIb,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,1GQ7,Lutz,"33548, 33549",28.1511243,-82.4614831,Florida,"Event Planning & Services, Resorts, Day Spas, Fitness & Instruction, Gyms, Beauty & Spas, Active Life, Hotels, Hotels & Travel",2.5,neutral,2012
ZC0XI,Sheraton Tampa Riverwalk Hotel,200 North Ashley Drive,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels & Travel, Venues & Event Spaces, Hotels",2.5,positivo,2012
5T4ET,Sheraton Sand Key Resort,1160 Gulf Blvd,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Event Planning & Services, Hotels, Venues & Event Spaces, Hotels & Travel",3.5,positivo,2012
HGWK4,Shephard's Ocean Flame,619 S Gulfview Blvd,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Restaurants, Event Planning & Services, Hotels, Seafood, Buffets, American (New), Resorts, Hotels & Travel, Sushi Bars, Breakfast & Brunch",3,positivo,2012
G9JKO,Shephard's Beach Resort,619 S Gulfview Blvd,O4uN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,EXHF,Clearwater Beach,33767,27.972065,-82.8285877,Florida,"Hotels & Travel, Bars, American (Traditional), Restaurants, Event Planning & Services, Nightlife, Hotels, Resorts",3,neutral,2012
J50JT,Shangri-La Bath & Sauna,5636 E Hillsborough Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Health & Medical, Saunas, Sports Clubs, Hotels & Travel, Active Life, Beauty & Spas, Resorts, Day Spas, Food",4.5,positivo,2012
YPI62,Seminole Hard Rock Hotel & Casino Tampa,5223 Orient Rd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Food, Hotels, Coffee & Tea, Hotels & Travel, Restaurants, Casinos, Burgers, Bars, Nightlife, Arts & Entertainment, Event Planning & Services",2.5,positivo,2012
02OXO,Sands of Treasure Island Apartment Motel,11800 Gulf Blvd,fOTb,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,dEd9,Treasure Island,33706,27.7691937,-82.7689906,Florida,"Hotels, Hotels & Travel, Event Planning & Services",3,positivo,2012
HO4QL,Residence Inn Tampa North/I-75 Fletcher,13420 N Telecom Pkwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels, Hotels & Travel",2,negativo,2012
O4ZD9,Residence Inn St. Petersburg Clearwater,5050 Ulmerton Rd,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Hotels & Travel, Event Planning & Services, Hotels",3.5,positivo,2012
7OTX3,Magnuson Hotel Marina Cove,6800 Sunshine Skyway Ln S,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Hotels & Travel, Venues & Event Spaces, Hotels, Resorts, Event Planning & Services",3,positivo,2012
9879S,Peninsula Inn & Spa,2937 Beach Blvd S,gkF8,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,T7Op,Gulfport,33707,27.7483613,-82.7034334,Florida,"Restaurants, Bed & Breakfast, Hotels, Day Spas, Southern, Hotels & Travel, Event Planning & Services, Beauty & Spas",4,positivo,2012
7P3FU,Payless Parking and Car Rental,1965 N Westshore Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Parking, Local Services, Automotive, Car Rental",1.5,positivo,2012
FTWQT,Parrotdise Express,"51 Main St, Ste 5",AE6H,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,L2T6,Dunedin,34698,28.0197404,-82.7717684,Florida,"Event Planning & Services, Boating, Local Services, Hotels & Travel, Boat Tours, Boat Charters, Tours, Active Life, Local Flavor",5,positivo,2012
0AOWJ,Sheraton Tampa Brandon Hotel,10221 Princess Palm Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Event Planning & Services, Hotels, Venues & Event Spaces",3,positivo,2012
LWBEM,La Quinta by Wyndham Tampa Brandon Regency Park,310 Grand Regency Blvd,uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,"Hotels, Hotels & Travel, Event Planning & Services",3,positivo,2012
5B31U,Extended Stay America - St. Petersburg - Clearwater - Airport,3089 Executive Dr.,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Hotels, Event Planning & Services, Hotels & Travel",2.5,positivo,2012
A6NI9,La Quinta by Wyndham Tampa Central,3826 West Waters Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels, Event Planning & Services, Hotels & Travel",2,negativo,2012
BMCDY,TownePlace Suites Tampa North/I-75 Fletcher,6800 Woodstork Rd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels & Travel, Hotels",2.5,positivo,2012
H77A8,TownePlace Suites St. Petersburg Clearwater,13200 49th St N,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Hotels, Event Planning & Services, Hotels & Travel",3,positivo,2012
OT9KU,Thunderbird Beach Resort,10700 Gulf Blvd,fOTb,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,dEd9,Treasure Island,33706,27.7691937,-82.7689906,Florida,"Hotels, Hotels & Travel, Event Planning & Services",3,positivo,2012
6DCD4,Thrifty Car Rental,4100 George J Bean Pkwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Car Rental, Hotels & Travel",1.5,positivo,2012
N32PT,The Westin Tampa Waterside,725 South Harbour Island Blvd,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Event Planning & Services, Hotels & Travel, Venues & Event Spaces, Hotels",2.5,negativo,2012
YALAZ,Village Green Active 55+,2001 83rd Avenue N.,L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Retirement Homes, Hotels & Travel, Local Services, Community Service/Non-Profit, Health & Medical, Home Services, Vacation Rentals, Condominiums, Real Estate",2.5,positivo,2012
KFVVQ,Village Inn Restaurant,11302 N 30th St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Restaurants, Bed & Breakfast, Hotels & Travel, Salad, American (Traditional), Burgers, Breakfast & Brunch, Hotels, Event Planning & Services",3,positivo,2012
C9LZV,Vista Inn and Suites Tampa,400 E Bearss Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Event Planning & Services, Hotels",2,negativo,2012
KKRME,WaterWorks Bar and Grill,111 W Fortune St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Bars, Hotels & Travel, Buffets, Nightlife, American (New), Restaurants, Salad",3,negativo,2012
3MYG7,ZooTampa at Lowry Park,1101 W Sligh Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Zoos, Tours, Arts & Entertainment, Hotels & Travel, Active Life",4,positivo,2012
ZBT1D,Yellow Cab Company,4413 N Hesperides St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Taxis, Transportation, Airport Shuttles, Hotels & Travel",1.5,positivo,2012
78DVB,Ybor Resort & Spa,1512 E 8th Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Resorts",1.5,positivo,2012
DHTSN,TownePlace Suites Tampa Westshore/Airport,5302 Avion Park Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Hotels, Event Planning & Services",3,positivo,2012
5USJH,Wyndham Garden Clearwater Beach,691 South Gulfview Blvd,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Event Planning & Services, Hotels, Hotels & Travel",3,positivo,2012
QHG1L,Wingate By Wyndham Tampa,3751 E Fowler Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Hotels & Travel, Event Planning & Services, Hotels",2.5,positivo,2012
3S7NX,Westwinds Waterfront Resort,10265 Gulf Blvd,fOTb,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,dEd9,Treasure Island,33706,27.7691937,-82.7689906,Florida,"Hotels, Hotels & Travel, Event Planning & Services",5,positivo,2012
ZN796,Waterside At Coquina Key,"4810 Coquina Key Dr SE, Ste A",vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Hotels & Travel, Home Services",3,positivo,2012
0QEOF,Watergarden Inn At the Bay,126 4th Ave NE,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Bed & Breakfast, Hotels, Event Planning & Services, Hotels & Travel",4.5,positivo,2012
MBO9J,The Westin Tampa Bay,7627 W Courtney Campbell Cswy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Venues & Event Spaces, Hotels, Hotels & Travel, Event Planning & Services",3,positivo,2012
09DNN,The Vinoy Renaissance St. Petersburg Resort & Golf Club,501 5th Ave NE,L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Hotels, Breakfast & Brunch, Hotels & Travel, Restaurants, Resorts, Venues & Event Spaces, Nightlife, Event Planning & Services",4,positivo,2012
ETKKI,The Tropics Boat Tours,25 Causeway Blvd,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Boat Tours, Boat Charters, Boating, Active Life, Event Planning & Services, Tours, Hotels & Travel",4,positivo,2012
9577R,Tahitian Inn Coffee Shop & Restaurant,601 S Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Restaurants, Food, Breakfast & Brunch, Coffee & Tea, Hotels, Event Planning & Services, Hotels & Travel",3.5,positivo,2012
FHXQW,TECO Line Streetcar System,1201 E 7th Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Public Transportation, Hotels & Travel, Transportation",4,positivo,2012
XGU5G,TD Ballpark,373 Douglas Ave,AE6H,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,L2T6,Dunedin,34698,28.0197404,-82.7717684,Florida,"Hotels & Travel, Active Life, Arts & Entertainment, Sports Clubs, Stadiums & Arenas",3.5,positivo,2012
5ITRQ,SuperShuttle,Null,L0b3,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,p9Ny,St. Petersburg,33701,27.7671271,-82.6384451,Florida,"Professional Services, Limos, Hotels & Travel, Transportation, Airport Shuttles",3.5,negativo,2012
DYMUH,Super 8 by Wyndham Clearwater/St. Petersburg Airport,"13260 34th St North, Ulmerton Rd  to 34th St North",UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Hotels, Hotels & Travel, Event Planning & Services",2,negativo,2012
3UATP,Woody's Watersports,205 Boardwalk Pl E,109T,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,SXN5,Madeira Beach,33708,27.7980814,-82.7973247,Florida,"Boating, Active Life, Jet Skis, Tours, Sporting Goods, Local Services, Printing Services, Shopping, Screen Printing, Hotels & Travel",4.5,positivo,2012
W61U7,Sunset Vistas Beachfront Suites,12000 Gulf Blvd,fOTb,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,dEd9,Treasure Island,33706,27.7691937,-82.7689906,Florida,"Hotels & Travel, Event Planning & Services, Hotels",4,positivo,2012
