id_centros_educacion,centros_educacion
V00MW,chisolm elementary school
7NQTQ,read-patillo elementary school
6NAPW,new smyrna beach middle school
XSWJG,atlantic boulevard
O3UDI,100
RHT3V,1750
EVTYJ,9039
RQG94,lake forrest prep 400 building
XJJ2R,baker school
MRIA3,love grove elementary school
MXCBH,ridge technical college
WLO3B,citrus ridge academy
NWR21,micanopy academy
0M35X,lincoln avenue school
EIOFR,riveroak technical college
022BL,suwannee primary school
MAS14,suwannee elementary school
FLM5D,suwannee high school
8STY8,byrom street
F5VDH,parkway middle school
I67YR,florida parkway
04TXR,neptune middle school
R2ERH,bradford middle school
UXD2W,west weldon street
HFXOG,discovery elementary school
60MJJ,addie r lewis k-8 school
VWO0R,gamble rodgers middle school
0FMK6,173
9ZFXZ,edwins elementary school
3GGJD,worley boulevard
SW8P7,mascotte elementary school
BYJ1Q,cecil e gray middle school
9DY4O,groveland elementary school
GDE4Y,umatilla elementary school
D2HHR,treadway elementary school
WQYB5,eustis high school
9JFWJ,tavares elementary school
QNRSO,tavares high school
VFAJC,tavares middle school
730BG,edge school
GJMLS,antioch elementary school
UCRVC,laurel hill school
YYX9O,nwfsc robert l.f. sikes education center crestview
SGXGM,olive street academy
WQ5TD,central avenue school
48E27,tyndall youth center
UT0M2,lakemont avenue
OWXY3,mandarin road
NKUN0,trinity prep lane
X0QKS,nwfsc/uwf ft walton campus
0854N,bonner elementary school
UQKXN,ormond beach middle school
NTLK3,tomoka elementary school
1BGD5,david c hinson middle school
LK9MT,champion elementary school
35GWB,sagemont lower school
AY06M,carlton palmore elementary school
U0KB1,2585
RXV42,new gate school
0ELU2,buolevard heights elementary school
HHB7J,apollo middle school
39GQK,off campus learning center
JWPMO,indian river state college
SFO4Z,fairlawn elementary school
GYH03,hagerty high school
AMFDC,carillon elementary school
6UWBZ,florine j. abel elementary school
IZB9J,sara scott harllee middle school
CCTEC,hyde grove early learning center
J1HSR,hyde park school
WRJYS,west county road 419
75HRM,twin rivers boulevard
LUTHZ,stenstrom elementary
ZWD5Y,king street
3YCQ4,academy avenue
88VYA,sallie jones elementary school
YF785,indian trace
0WDAT,charlotte high school
WXSHJ,punta gorda junior high school
2HSOK,henry s west laboratory elementary school
8VVRJ,everglades elementary school
8YK6Z,ballard elementary school
C180W,riverside high school
CUOW1,saint paul's catholic school
USITV,hollywood academy of arts and sciences
D3SZ0,1198
FYEJ6,east chapman road
2KIU4,lawton avenue
FXPM1,saint theresa catholic school
OI8NG,saint philip's episcopal church and school
OB274,6575
RL5F2,burns middle school grounds
WP9AI,la peptite of miramar
7UC8L,croissant park elementary school
UKMT6,lake placid elementary school
EECJM,lake placid middle school
NNXDV,stetson university
5R7IP,stetson university
P3FEN,east university avenue
GQ0DU,east university avenue
TW9GY,community christian school
YAI02,lake erie school of dental medicine
JC7U3,franklin county school
VZQ6G,liberty pines academy
D97FW,parker elementary school
69CL1,cochran boulevard
RPWT8,bozeman learning center
HIPKJ,oscar patterson elementary school
DULQ6,m. cherry street elementary school
08GEK,mowat middle school
CEYXW,bay high school
V5LC7,bay high school
MN0LK,bay high school
MYNYV,hollywood park elementary school
2YSNR,new renaissance middle school
9L7AT,northwest 129th avenue
KUIZY,northwest 129th avenue
IPDWA,peace river elementary school
B1YOH,carnaghi arts
0KOFJ,8th avenue south
23TE3,j.r. arnold high school
TCDK0,west hollywood elementary school
AJW5N,deer point elementary school
NHTVK,cedar grove elementary school
Z1GF2,callaway elementary
ZVFS8,hiland park elementary school
940V6,patronis elementary school
00N2S,northside elementary school
DMQQ3,waller elementary school
GG6KJ,tommy smith elementary school
PXQVD,thomas jefferson elementary school
ALZIR,cypress k-8
I1WMB,union park elementary school
O8ZHI,saint johns river state college
OTSX9,14141
W03XK,tuskawilla road
7S2HU,lake howell high school
VZ263,valley ridge academy
H2B0K,deland senior high school
DDL2H,friendship elementary school
DM16W,deltona lakes elementary school
MG0GV,bartow elementary school
RTGJI,duval charter school at westside
3NAMJ,frederick douglas head start
ZT5SX,euclid high school
5H57N,blue lake elementary school
Q3PAD,john f kennedy middle school
ZHCRR,kingsway elementary school
27CU4,citrus grove elementary school
L6QBC,university of tampa east campus
PGKI0,sergeant paul r. smith middle school
N352E,george marks elementary school
LQEUI,gause academy of leadership and applied technology
LWDKM,trask lane
I2XQ0,meadowbrook middle school
N2G6E,ocps academic center for excellence
25UB5,university high school
OYRCK,miami senior high school
5F78D,kids community college south campus
NP85Y,escuela 63
CULJB,atwater elementary school
ABG4O,c.o.a.s.t. charter school
EZJ62,whitehouse elementary school
HW90G,sawgrass bay elementary
OGBME,lake-sumter state college - south lake
TM3JC,wakulla center - tallahassee community college
UKJCW,gulf high school
B7N03,river city science academy
PKD4Z,hornets nest road
MO2GD,mandarin oaks elementary school
9WXHG,2601
5I5OX,15000
NMUQE,norman s. edelcup/sunny isles beach k-8
B6G3G,beauclerc school
88QZO,franklin academy
8ZPIM,jefferson elementary school
S01JW,myrtle grove elementary
M7IOM,350
3L7DO,loretto elementary school
NWD0Q,sunrise drive
TUV8N,77th street
ZX3CL,kendall square k-8 center
NV6MQ,9600
28NIT,deep creek elementary school
M1KZX,liberty elementary school
IWPKQ,randal middle school
QL3V9,university academy
VRR8U,murdock middle school
N73MV,saint stephen catholic school
G5J2L,legacy education alliance
IN0VQ,crystal river middle school
213NJ,crystal river high school
195PO,osceola elementary
UKHHO,community school of naples
1Y81U,rosenwald school
DGQEW,homosassa elementary school
YZVYK,bexley elementary school
NXTBB,destin middle school
TJUG6,melbourne central catholic high school
1TOB3,creek road
AZSEU,shinn road
A7AOM,yankeetown school
44D55,john snively elementary school
EBSCW,lake shipp elementary school
DT5PF,lutz elementary school
DCLYW,okaloosa technical college
QH6D3,spectrum academy
J2EYA,calvary christian academy
J46W1,suwannee middle school
120QU,betton hills school
3V0X6,seminole montessori school
L0UVZ,port malabar elementary
5Q2J0,vero beach elementary school
P5A0U,gifford middle school
O8R82,treasure coast technical college
3U9LG,alternative center for education
PULUA,placida road
32R46,san jose catholic school
1XFFR,kings trail school
X5W7T,san jose episcopal day school
O8Q2O,frostproof elementary school
O9LKP,frostproof ben hill griffin
HKDPP,sneads elementary school
SBUCL,charlotte harbor center
X47P3,hancock avenue
FOHZB,maclay school
42Q8P,quest elementary school
A8B8N,aurelia m. cole academy
FGLAC,cypress ridge elementary
PTW5T,1198
90533,glendale elementary school
066OD,fiu student housing quad path
8FSW3,southern aeromedical institute
JLY1Z,rockledge high school
I725F,coral terrace elementary school
MBKO1,don soffer aventura high school
M57PZ,2020
Y9CBC,saint augustine high school
QUP3D,the webster school
0319F,r.j. murray middle school
ZUUVK,south fiske boulevard
5WF8M,san jose elementary school
FOYZP,pasco-hernando state college - west campus
QB83O,nova southeastern university - tampa bay regional campus
N9KGS,innovation lane
WLU96,central florida aerosapce academy
15121,woodland middle school
CVZXL,14750
4YMEZ,navigator academy of leadership
0H2Q6,tarpon springs middle school
TQ1DU,florida technical college - deland campus
L7M33,orangewood elementary school
E4O8P,ray v potterf elementary school
PH3D5,colonial elementary school
JN6KJ,tanglewood elementary school
1CRYG,4750
Q4KB9,riverdale high school
B5E6N,oak hammock middle school
WEPCP,orange river elementary school
O3OF2,tice elementary school
04SSJ,littleton elementary school
C8LOR,northeast 12th place
DVMV7,island coast high school
XBXL3,bayshore elementary school
86ARL,julia street
9BX1A,somerset academy
22E13,toledo blade elementary school
IPZFH,cranberry elementary school
Q373J,lamarque elementary school
I5XZG,north port high school
Q5HFE,heron creek middle school
7MXBV,glenallen elementary school
59KIO,saint anthony's school
C6S0R,gulfstream academy of hallandale beach
8DTP7,saint mark's episcopal school
JPXS2,northwest 5th court
LZO34,saint thomas aquinas high school
IG2K2,mamie agnes jones elementary school
AKPG2,baldwin middle senior high school
4AP74,westview pre-k-8 school
M20P2,frank m golson elementary school
SMXJR,lawton chiles middle academy
AF1ZD,turner/bartels k-8 school - lower campus
3T15W,turner/bartels
FWEJK,greenville elementary school
GDFJW,starke elementary school
43WEI,hilliard elementary school
CHQO4,santa fe college
FXBCJ,sun n lake elementary
SXVR5,colson elementry school
9S1F8,lopez elementry school
TQSQR,triple creek boulevard
D4CGU,beth street
JDOFM,hill gustat middle school
3IV6Q,avon park high school
8UDF4,riverview academy of math and science
O0UEA,north bay haven charter academy elementary school
E3S2D,south florida state college
B4KD7,cracker trail elementary school
LOS9Z,avon elementary school
TVR6K,woodlawn elementary school
EMV5J,sebring high school
Y65IZ,memorial elementary school
8G35E,park elementary school
QGBLG,fred wild elementary school
J2W81,kindergarten learning center
62TUH,lake placid high school
UOWF3,lake country elementary school
F1WTB,imagine schools at west melbourne
0L6GV,longleaf elementary school
P5M85,howard w. blake high school
HD5TC,cypress woods elementary school
ZEBKJ,children's academy
MMK9K,7th street
SCON8,manatee high school
MR1C7,8th street
ICL11,baker county high school
URZB2,westside elementary school
WSR6Z,poplar springs school
OWIRV,moss hill road
7CCMS,moss hill road
KVFI0,riviera elementary school
X2YYJ,fishweir school
PVI7J,blountstown elementary school
VPNXC,providence christian school
BY6TB,winthrop charter school
UIBEP,winthrop charter school
WTD7X,meadowlane primary school
QDV93,meadowlane intermediate school
Y03UX,central middle school
VCLWQ,trinity education complex
MR72U,homestead middle school
DXQH0,university of tampa west campus
TGSQP,kingswood montessori school
SJMFA,ortega elementary school
BUZIE,saint marks episcopal day school
LDTJ4,veterans elementary school
VIO14,pasco county south compound bus services
MY7YI,odessa elementary school
2UP18,fort pierce magnet school of the arts
SAKUE,johnson middle school
DD9DP,saint petersburg college - tarpon springs campus
GPZM9,hudson education complex
GXL90,fivay high school
IBM9B,ridgeview elementary school
3CVN7,ridgeview high school
RZLW3,mcrae elementary school
R9JAI,green cove springs junior high school
3IR4Y,charles e bennett elementary school
QR0TS,saint petersburg college gibbs campus
O12T5,3rd street south
WZFL3,jean o'dell learning center
0ALIM,cardinal boulevard
8JDU7,ronald mcnair middle school
8XQXL,concorde career institiute -orlando
MJ8QV,lively technical college
EKCA2,cypress creek education complex
H3MSL,pasco high school
RLMS0,sunlake education complex
OPQPK,wesley chapel education complex
47E5A,zephyrills education complex
52KOB,millennial christian school
A2HCB,crystal river primary school
V0K36,bayonet point education complex
NZ3AY,1163
JLNAS,centennial education complex
UK8L5,acclaim academy
IQ7GQ,pembroke pines elementary school
7JLFX,andover middle school
QQJIC,beachland elementary school
SBS5W,emerson elementary school
818SI,the bright days preschool
ZVE2U,booker t washington senior high school
NXS7W,discovery oaks elementary
5EOFX,409
09N8V,palm bay elementary
8RXVS,south elementary school
ZZ8IF,osceola middle school
L6HN6,everglades elementary school
1RJQ5,yearling middle school
D33HL,north elementary school
TKRK5,okeechobee achievement academy
94OHE,seminole elementary school
QO6AI,indian river state college dixon-hendry campus
IMFEO,potter's house christian academy
9H3RK,suncoast elementary school
LT9JS,normandy school
8E3QO,fountain west boulevard
RSJ9J,upson school
AS9ZY,pasco elementary school
UP01U,saint paul pre-school
8GXDT,merrivale loop
5RR3N,mittye p. locke early learning academy
2FO6P,sunray elementary school
B5HJC,gulf trace elementary school
5BY51,gulfside elementary
8RD14,deer park elementary school
T6D8B,cotee river elementary school
KVG1M,gulf middle school
A6NZS,james m marlow elementary school
GY0N8,southwest 14th street
2KJX5,potters house christian academy high school
67Q8T,west zephyrhills elementary school
YTXIP,cox elementary school
F0WG2,san antonio elementary school
4NY5P,lacoochee elementary school
ZTQQH,moon lake elementary school
46GXT,mary giella elementary school
FVR4D,crews lake middle school
TI7KT,shady hills elementary school
4JHQE,pasco middle school
81CVJ,wiregrass elementary school
SP09W,double branch elementary school
AYEKP,quail hollow elementary school
QBI2P,cypress elementary school
WMZGQ,anclote elementary school
XVYOA,trinity oaks elementary school
1RB64,lake myrtle elementary school
5VUOU,denham oaks elementary school
GP1SV,seven oaks elementary school
AQUKX,berryhill elementary school
UXLTX,yates elementary school
VGA63,westside elementary school
N8U27,deltona elementary school
A5LMJ,powell middle school
Z0KS3,floyd elementary school
2MXHJ,chocachatti elementary school
90AR3,brooksville elementary school
OQ9DI,eastside elementary school
1YF7S,melrose elementary school
NHSQA,lakeland senior high school
S8422,lime street elementary school
BGRZE,wahneta elementary school
WBI1B,pinewood elementary school
6INF8,1632
8M71T,eagle lake elementary school
CMYWC,valleyview elementary school
44W0P,5300
R04EH,highlands grove elementary school
QFUYB,james weldon johnson college preparatory middle school
PWN7V,ramona boulevard school
SDWQQ,oscar j pope elementary school
YSMKR,fort meade middle / senior high school
BBD9K,lewis anna woodbury elementary school
ZUKYT,cleveland court elementary school
6709B,southwest elementary school
TUV8P,dundee elementary school
Q1TMW,osceola high school
QOY3K,loughman oaks elementary school
N9QGB,eastside elementary school
U29CE,southwest 17th street
1OIC6,the playhouse and biltmore school
TXTKE,sylvania heights elementary school
XDCRT,florida education institute
6VR6M,waverly acadamy
QJMQL,25th avenue northwest
XGTT5,fairlawn elementary school
1X5M5,pea ridge elementary school
8977U,east milton elementary school
J2QXK,central high school
HL19J,west hernando middle school
0VTEZ,pine grove elementary school
0T1ZU,kids community college southeast
J3EA5,cedar hills baptist christian school
ULQV1,starkey ranch k-8 school
VHDFK,florida memorial university nathan w collier library
FXKM2,16050
28QMS,abundant life christian academy
WGQ8Y,hammocks boulevard
9P7X5,coral glades high school
TL20M,67th avenue
7ZX4V,west elementary school
RB3VU,desoto high school
0KHXS,graceville elementary school
DD9A0,the baptist college of florida
FIEXJ,grand ridge high school
LQYXP,cross creek boulevard
CP3E3,all saints academy
KBIEW,oak avenue
Y378C,bell elementary school
88LBS,beulah academy of science
SS60J,chiefland elementary school
XS8H0,wimauma elementary school
EKUPP,seminole state college - oviedo campus
LWK58,red bug elementary school
SUYCN,tuskawilla road
LLD5W,summerfield crossings elementary school
3Y3WV,seven springs elementary school
R9540,genesis school
T51OQ,trinity elementary school
4NU60,mount hope drive
L82WR,herbert cambridge elementary school
N37GB,lavern gaynor elementary school
JTQZS,shadowlawn elementary school
I5K6E,airport pulling road
XS9SJ,10th avenue southeast
2EFFF,veterans memorial elementary school
CG0NK,pinecrest north preparatory
10VTT,estates elementary school
KDRLB,calusa park elementary school
AZLBG,sea gate elementary school
1BFC5,saint john neumann high school
9CHOL,golden terrace elementary school
JBWX0,golden gate elementary school
YUZSZ,oakridge middle school
YYP8Z,north naples middle school
VA1UK,pelican marsh elementary school
RTB67,pine ridge middle school
1M0C5,bishop larkin catholic school
AVDTR,1251
DUQHX,gulf drive
KU4B8,achieve center of new port richey
KUH8F,open door school
65N28,the red apple adult training center
W9ZVY,trinity college of florida
SGGY4,teen challenge international
5WKH6,3500
V0EIQ,dixie m hollins senior high school
ACES1,pinellas park middle school
F9AY2,pinellas central elementary school
4AGUX,venice middle school
JO1HE,2288
7BOC7,spring park school
AIFKJ,lake buena vista high school
5MHM6,chumuckla elementary school
4C7EA,oriole beach elementary school
1C05S,bennett c russell elementary school
ZOFSL,avalon middle school
JG59Z,12208
FIFTH,spring hill elementary school
42EZ7,beach boulevard
A2CX0,meridian career institute
L82H3,state college of florida
9MVZO,yulee elementary school
DWAK5,nassau community academy
0UJFS,yulee junior high school
SMHT5,yulee high school
JFCBA,fernandina beach middle school
0W75J,fernandina beach high school
FKRI7,university boulevard south
77D43,immokalee high school
K1COH,water spring elementary
VUCPT,pinnacle academy
9Z35S,wells road
TBWKX,family life care
5GO0X,eletrical training centre
NHJLF,pinecastle school
SXOHY,brown street
CEFI5,the art institute of jacksonville
33YKR,florida coastal school of law
66AGN,university christian school
VR31I,8400
60NE3,bayberry road
CNB1V,four corners upper school
DLS0B,bryan hall
ZPUXU,sneads high school
SQL3R,cornerstone learning community
2B0GF,paxon school for advanced studies
Y1TBZ,freedom elementary school
4OBI5,out of door academy - middle and upper school - lakewood ranch
MABWW,saint john's episcopal parish day school
WATQW,bayshore high school
OG8LV,lakewood ranch high school
PKBB9,zolfo elementary school
9VMB8,tebassa road
WRJ81,sumner high school
ZIZCH,dean road
ZFJ77,wave street
8BJ6C,cypress green lane
CV9E6,imagine schools south vero
CWKVH,agmac avenue
V1EDW,saint peter's academy
WM08L,master's academy
M71KV,webster elementary school
2TQL3,south sumter middle school
SSKYX,saint cloud middle school
22ZOV,hickory tree elementary school
WHUN4,spessard holland elementary
NO7Y2,oak forest drive south
Z1Y33,clewiston middle school
8V6V6,clewiston high school
XFOY8,sarasota military academy prep campus
QYN8D,royal palm school
PFM18,southside elementary school
BH69W,anthony elementary school
4KIZZ,ocala springs elementary school
UP8N7,evergreen elementary school
0K2XV,oakcrest elementary school
NEM5X,vanguard high school
FAVIF,fort king middle school
H0BKN,wyomina park elementary school
DFRYP,sparr elementary school
K10HK,reddick-collier elementary school
L6GJR,north marion high school
A43QN,south ocala elementary school
S8E5G,ward-highlands elementary school
MQ0PU,ave maria university
CRKKV,donahue academy of ave maria
N1JL1,minneola elementary school
ITPFX,desoto middle school
0YPLA,memorial elementary school
AWSAK,hardee senior high school
KZ5AQ,north wauchula elementary school
KGYFY,forest ridge elementary school
127QY,rock crusher elementary school
L9X8Z,floral city elementary school
SSYUJ,pleasant grove elementary school
FN0X4,citrus high school
I3UIJ,hernando elementary school
SHSLC,usf health
HRC23,channelside academy
DKDT6,island village montessori school
LBASE,wabasso school
MPCYH,liberty magnet elementary school
FFDVT,montessori school of trinity
6GTE7,martin county school administration
KRW6G,kingsfield elementary
PO8W8,west hialeah gardens elementary
13C6X,11690
ESUT4,booker high school
DH6A7,wildlight elementary school
D5GLH,18119
Q2O6P,royal palm charter school
SHXJ6,pinecrest academy space coast
ZEIX8,sunrise elementary school
3UN9A,wedgefield k-8 school
UF5QE,palm avenue
NWUA3,simpson road
VLWKT,orange technical college-mid florida campus
2L1AW,westridge middle school
P8JQO,central florida fire academy
3101K,plato academy
RY8BE,athenian academy of pasco
RLEWE,gulf highlands elementary school
CUAQC,pal charter school
A7KEM,southeast broadway street
ZUK3S,southeast 6th street
WU9L2,bridgewater middle school
31X5M,imagine school of land o' lakes
66CCU,sunshine elementary school
7AOGI,creative inspiration journey school
G3JAF,harmony high school
9SIHY,pasco-hernando state college - porter campus
KU4D3,west merritt avenue
97WGB,duet avenue
6720N,georgia avenue
DXIY2,south courtenay parkway
IQ00L,saint john vianney catholic school
DGLJ6,academy at the lakes - lower school
Y6H1P,academy at the lakes - mccormick campus
M0XFC,olympia high school
UP1QW,bay school
8E9GN,palm beach state college
FMR15,dune lakes elementary school
RXPCQ,full sail university
ZHIWF,grand park kindergarten/exceptional center
DX5LS,gocio elementary school
L83AO,miami dade college- wolfson campus
Q8JY0,family christian center school
S0CM4,north 29th street
WBSYP,north county charter elementary school
3VA6L,pizzo k-8 school
OXOON,odyssey junior/senior high
WIJEW,callahan elementary school
5ENFH,west nassau high school
Q5OYP,wakulla educational center
3J2PA,three oaks middle school
JJ27A,three oaks elementary school
TYNZZ,pinewoods elementary school
UKJOI,estero high school
MWJVN,spring creek elementary school
5OW1H,bonita springs elementary school
98CBA,treeline elementary school
5GZUL,allen park elementary school
X8IKU,fort myers high school
D1NBX,franklin park school
LJ0UR,jean marie court
8L17I,tortuga preserve elementary school
PG2HU,harn's marsh middle school
HJ8KO,harn's marsh elementary school
Z1VXM,lehigh elementary school
9BJGY,mirror lakes elementary school
NTNAY,east lee county high school
NK4OE,south fort myers high school
Y5EYY,rayma c. page elementary school
YIGV8,myakka river elementary school
9097W,vineland elementary school
IDIZR,la ainger middle school
O5EB1,hector a cafferata elementary school
4K6XS,mariner middle chool
FIQS7,tropic isles elementary school
NFCXM,north fort myers high school
MMOWH,j colin english elementary school
IOBIX,perkins elementary school
AU1MS,lakewood senior high school
TWQUO,disston academy
RMAUO,fairmount park elementary school
4CIZ9,tyrone middle school
HAVZL,tyrone elementary school
3PRDU,mount vernon elementary school
HVSU9,new heights elementary school
V70CP,lealman avenue elementary school
G5A42,pinellas park elementary school
MG4O9,9101
J0VAU,san jose elementary school
IM4SD,curlew creek elementary school
OM2OW,lake saint george elementary school
RE6SH,highland lakes elementary school
22H2Z,palm harbor middle school
OVDHL,ozona elementary school
5B9I3,sutherland elementary school
4BFEH,tarpon springs fundamental elementary school
FSSVH,sunset hills elementary school
6HVB2,lowry elementary school
BYHZC,deer park elementary school
OGF4X,walker middle school
612I7,walker middle school
8W83A,nelson elementary school
WEUMA,mintz elementary school
37ZDH,schmidt elementary school
KKMBJ,jennings middle school
3FWMS,folsom elementary school
E4I8J,wharton high school
KHBID,clark elementary school
B6QN3,maniscalco elementary school
ELWUW,essrig elementary school
Q6AIO,lake butler elementary school
RTPRF,union county high school
D84KY,lake butler middle school
M2XGZ,louise s mcinnis elementary school
UKSX6,edith i starke elementary school
HSUYT,woodward avenue elementary school
D0W3W,deland middle school
RNP9Y,volusia pines elementary school
71TMY,galaxy middle school
O64MN,timbercrest elementary school
UJKDB,deltona high school
0AXAX,osteen elementary school
G1P0Q,forest lake elementary school
JX9HQ,enterprise elementary school
A93AN,deltona middle school
0EC8X,hamilton elementary school
XIGBB,orange city elementary school
1THY4,spirit elementary school
S6OQA,discovery elementary school
XFZPF,timber springs middle school
AGXS2,eastern florida state college
I6ZPD,columbia elementary school
HWGLS,140th avenue north
OASRI,student leadership academy
RPDFG,davenport high school
GEAWO,jefferson middle / high school
LQNXJ,turner elementary school
92IYY,southwest middle school
ZGLRM,143rd drive north
WDD28,murcott boulevard
7G6SL,taylor county elementary school
RJODI,taylor county middle school
EM6YR,dot street residential complex
2WA8O,gibsonton elementary school
LJWR4,northeast 18th avenue
21I6T,northwest california boulevard
30YOC,westside elementary school
2CFMV,southwest 115th avenue
6T58Q,marine science center
IIOQ2,defense equal opportunity management institution
2JT1P,horizon high school
BFKMW,hawthorne junior/senior high school;hawthorne middle school
8SSRP,palm glades preparatory academy
VG93H,waldorf school of palm beach
WXU3N,aloma elementary school
B1G3P,trinity christian academy
9KC1M,gulfstream academy of hallandale beach k-8 center
YN82F,hallandale elementary school
T3ZBB,florida international university - biscayne bay campus
1A87W,us 98
2BW3C,dayspring ovation campus
YWN9K,dayspring - minuet campus
FQ72M,dayspring - harmony campus
VD5VO,tinker elementary school
89UJ7,west pasco education center
VVRN1,bell creek academy
WR5UJ,alexander montessori school
H1HOM,westminster christian school
1Q35S,pineapple cove classical academy
89M6E,parrish community high school
VK5MI,neptune elementary school
JW82P,adventist christian academy
EU5RF,pine island academy
ZUJCH,perry elementary school
Y9PDX,dayspring - jazz campus
WMQ3V,nature coast state trail
7RR0Y,chiefland high school
N6TCU,salah tawfik elementary & middle school
Z4NYY,aubrey rogers high school
GDGU2,genesis preparatory school
KA4QH,5th avenue north
HJCA9,concord street
S06O2,bulldog road
HY0HS,belomont elementary school
XQTM0,fox hollow drive
EPSO3,floirida state fire college
HCXN2,floirida state fire college
4TU9R,kennedy street
I283Y,trinity catholic high school
8WSSD,blanche h daugherty elementary school
SPJSZ,bayshore elementary school
OGTI0,town center boulevard
YOKIB,concorde career institute - tampa
5EHXC,town center boulevard
PNN5P,lake calabay drive
INTKH,town center boulevard
ZVTAP,daytona state college (nsb/edgewater)
XXMGS,3550
7744M,hill street
99KNY,cypress parkway
DEG7Z,samuel m and helene soref jewish community center inc
UM52T,renaissance charter school
BOKBE,pasco-hernando state college - spring hill campus
JQ06N,tanglewood learning center
Z3VAE,kingswood elementary school
NGECB,palmer catholic academy
1CKMC,raintree christian academy
5L4ZU,keiser university
EJMFV,saddlewodd elementary school
P46RN,auburndale elementary school
MY8E6,esther's school
CLKC7,innovation prep
SKQRT,kirkland ranch academy of innovation
BDEY8,wesley chapel montessori school
3ZX4B,9th avenue west
T4E3Y,bay haven charter academy
UNB22,pine view middle school
Y841B,pine view elementary school
L4OLS,new horizons learning center
DLXB9,perry primary school
KNW8Q,pine valley lane
S82JW,southwest 103rd avenue
8AADF,wiregrass school road
2O1HO,dorothy c. york innovation academy prek-8
AG4SR,blountstown junior high school
IVO5O,emma love hardee elementary school
165CI,30th avenue
CUSB1,36th avenue west
PND8R,38th avenue west
Q473J,h. s. moody elementary school;h s moody elementary school
6KLUV,howard middle school
N15M0,richard o. jacobson technical high school at seminole
E0WW2,south florida bible college
TFDBL,great barracuda way
FGZ32,lynn haven elementary school
E5E83,kate m. smith elementary school
1QKMZ,lee elementary school
FC38A,cedar drive
GJE3Y,blackstone landing drive
J31IL,carver/century k-8
9AXPQ,g. w. carver middle school
PUY6L,hope christian academy
PBP6W,university of florida ifas gulf coast research & education center
ERINZ,northwest 31st avenue
OOQK1,charles drew family resource center
2SL68,west shore elementary school
0SZ37,north lake verona boulevard
K9YWK,walker memorial academy
YMGXD,saint andrew's school
I29RK,epiphany cathedral school
0DUTQ,2998
4IXUH,tocoi creek high school
AWNH4,somerset academy canyons
NNE0I,us 27;us 98
SGFYE,899
KFIPT,somerset parkland academy
3YH32,somerset academy middle school
Q0FIE,somerset academy
V7EKM,somerset academy charter high school
5RGPW,golden gate middle school
9S9LV,fl a1a;fl 200
K9183,calvary christian academy
Y4E7G,northwest 6th street
U9JJP,audubon park school
5RVKI,everglades university
DQ98H,dunbar elementary magnet school
B5GPL,8571
MNWKB,village montessori school
ZNTST,countryside christian school
201I8,frostproof middle-senior high school
TBJ26,edward a. upthegrove elementary school
K29CL,florida southwestern college
98P91,18386
XGRZ3,ceder street
IF2VE,riviera preparatory school
F5ZBY,kenwood elementary school
03DZY,bishop mclaughlin catholic high school
Q5EOE,b. t. washington elementary school
QAIGU,dave thomas education center west campus
8ET0A,kendall greens high school
E9LL9,mcglannon school
6A6IP,belleview elementary school
MMM67,greenway elementary school
OJTD0,east 7th street
EVOXN,west 13th street
K28BJ,northeast 6th street
MSNXQ,northeast 6th street
XKBWZ,11450
CO4R5,north bay haven charter academy elementary school
DQ8N7,saint joseph catholic school
VUP78,west union street
WB5MH,nativity catholic school
OG5K6,east chaminade drive
J0HBD,millville school
QKXMK,rasmussen university
KIQVA,florida gateway college
0YO8A,dr. joaquin garcia high school
B55C3,waterfront vehicle storage district
FVF5Z,rollins college
X28LG,holt avenue
ZVRS9,pennsylvania avenue
CR9KB,sheridan hills christian school
D4IVR,south university west palm beach
M9DGX,chipola college
TP47Z,lehigh acres middle school
ETBNZ,adventhealth university
PDQBD,hodges university
FXAY5,mongo street
AGRVS,riverwalk stem academy at just elementary school
PB4LX,north willow avenue
BFB0N,landmark baptist college
PYMON,davenport elementary school
I7JAB,everglades city school
SI204,east la rua street
EWNAY,southeast 6th street
ZZLQV,the cornerstone school
NZGMR,148
4JSA4,mount pleasant standard base middle school
3LKUR,east hibiscus street
UTZC6,saint joseph catholic school
YUAPV,rcma south highlands cdc
UZUNN,brightside street
L5DAM,southwest 180th avenue road
JGLBE,shingle creek elementary school
FT25M,fl 46
XWY12,avenue f
NNUVC,diego drive south
DG21B,braden river high school
QT0B3,belle terre elementary school
0U5HU,trinity lutheran school
8MSZH,beulah elementary school
AIOF6,elisa nelson elementary school
32FHP,manatee technical college
ENE9X,palm coast parkway west
WPDAO,west la salle street
F3QL7,south intensive transition south
RQ1T9,angeline school way
IHZOD,north corona avenue
9JICU,long bay road
YUY6W,pineda boulevard
P1L1F,trafford drive
YEEE0,hawkins road
AWVCB,jeaga middle school
EIWD1,oxbridge academy
LX4DS,the villages charter school (k-8)
ERKE9,the villages charter school (high)
YMX0Y,southwest 143rd court
SPNCK,marjorie g. kinnan elementary school
RJ7K0,berkeley preparatory school
MXQ6K,webb middle school
Y0BMY,children’s reading center charter school
NC1QG,centerville road
PE466,escuela 102 piedra alta
DLHQO,franklin academy
AN3LU,lhps charles clayton campus
9GVAH,liceo de sarandí grande
B5LYI,bay high school
4ZL0O,mercedes avenue
ZF9X6,liceo 1 departamental de florida
3IWD2,plato academy tarpon springs
7TXJC,luminous avenue
A63Y0,wellen park high school
VUH7R,college preparatory academy at wellen park
