id_centros_hosteleria,centros_hosteleria
6P8EU,rodeway inn sun city center
IEBVR,american airlines
DZAJB,redington ambassador
OYSHX,woodspring suites tampa northeast
Q3SQC,veterans limousine llc
ZCWGF,travelodge clearwater
KD2ZK,hampton inn  suites clearwaterst petersburgulmerton road fl
2ZJ03,history bike tampa
0U5FY,sails resort motel
B8S7J,brandon nissan
2EVDB,florida auto service center
L0IL7,bayshore limo
NHH1W,1st class limo  car service
2PP31,palm court motel
AWDV3,nordvind resort
9C1RZ,sandpiper beach resort
QMR30,jolley trolley
79JOF,microtel inn  suites by wyndham spring hillweeki wachee
NBSSH,the historic peninsula inn
YW3S1,legacy vacation resort  indian shores
GCKQT,ft de soto ferry to egmont key
L1U10,the barrymore hotel tampa riverwalk
NWQSL,florida currency exchange
P5LO6,blue one transportation
XGIS9,macdill inn
8BDEM,i 75 southbound mile 238 rest area
UNBEX,holiday inn sunspree resort st petersburgmarina cove
LGXBE,la quinta by wyndham tampa bay areatampa south
6MAFB,beach house suites by the don cesar
AOQSC,sea breeze manor inn
56D5D,ghost party haunted tours
TQA5T,days inn tampa west of busch gardens
043R7,homewood suites by hilton st petersburg clearwater
KHI7G,coconut villas of dunedin
IB9WK,five palms condominium resort
0WV3P,3 rooker charters
ELZG4,hotel sol
ELX5Q,st petersburg carriages
TQBRV,pasco county rest area i75 southbound
PDK23,villa de leon
7L8SA,days inn by wyndham tampa
KDEWB,country inn  suites by radisson st petersburg  clearwater
ZZVM9,a boat day
KE0FI,journey usa rv rentals
JH1ST,largo central park nature preserve
RYWNV,frontier airlines
UN5YD,st pete biking tours
