id_centros_entretenimiento,centros_entretenimiento
0JND2,Thacker Avenue
OSWGH,Santa Rosa Mall
3TDCY,Avenue G Southwest
P038N,Mall of the Americas
DB4L6,Hunters Oak Drive
3PL3B,Promenade Square Drive
7EQKU,Hammocks Boulevard
O6KWI,Southwest 169th Court
6V6W1,Higate Square
UGQI1,Great Clips TJ Maxx Plaza
T4BET,Southwest 42nd Street
S40XV,Panda Express
8Q9P8,Southwest 134th Avenue
GG6X3,Winn-Dixie
FKRGH,Skylake Mall
64ZB8,Bed Bath & Beyond
2MVWB,Northeast 163rd Street
G60GN,13565
TUG91,Grand Regency Boulevard
SHTYV,Shops at Merrick Park
QPUGR,Mattress Firm
SOPDK,Steele Street
0CV9Z,Spencer Drive
ZQ24R,3913
N3W84,Publix
XSRSC,Palm Drive
EW5LO,Sarasota Square Mall
ZVDJ8,Bliss Salon
OI6H7,Landings Boulevard
W29ZG,Westfield Siesta Key
GBP6O,East Hillsborough Avenue
HSUUG,Hillsboro Plaza
9XUFN,Sharon Drive
IVHL5,Plantation Square
DYCFD,dd's Discounts
Y1OCB,Armstrong Boulevard
DKDGD,Westgate Plaza
4HFPV,US 27
2ZXZK,Woodstock Drive
W0EHN,Southchase Village
OPMV2,Bluffs Square Shoppes
TAR9C,I 95
FH9CL,Colonial Promenade
4G3NY,Town Center at Boca Raton
0C1C9,Mall at University Town Center
RB540,Colony Square Drive
MWFVH,Colony Boulevard
JHW2L,Philips Highway
ZC3QK,Volusia Mall
LJLML,Broadway's
YWIR3,415
WVT0Q,Hopewell Avenue
RAGCM,James L Redman Parkway
DONQ4,James L Redman Parkway
44Z49,Today's Male
NBZD6,Sunset Harbour Shops
0205C,James L Redman Parkway
JAJPJ,Southwest 89th Lane
DGSZ5,Gulf View Square Mall
JK085,Cordova Mall
B2P0Z,Bartow Shopping Center
MRB8V,Century 21
K48US,Brandon Center
PJ1M8,Clayton Mall
DJ0I1,West Langford Drive
CELTX,Tampa Premium Outlets
CR0D7,Okeechobee Boulevard
JIQMT,Westland Mall
XIY5U,Ultramont Mall
YFWFC,B&B Joint
UHHVW,West 1st Avenue
H19BO,Uleta Plaza
C8DSS,Lincoln Road Mall
T9WOH,Canton Avenue
ACCUP,430
BGRCS,Indian River Mall
2GTQ9,Southwest 91st Court
I62ND,Southwest 136th Street
O88RM,Southwest 135th Terrace
YHT4Q,Sunshine Park Mall
66W9S,Centre of Tallahassee
KGL1O,Altamonte Mall
Y1EQL,Palm Plaza
7OTWL,Tommy Hilfiger
J5E38,Mattress Firm
C5ICJ,Southwest 120th Street
XAZTQ,TJ Max
TR858,Community Drive
X1MLA,Old Military Trail
NWTDO,South Chillingworth Drive
OTI1Z,Frank Street
WFEST,The Big Apple Shopping Bazaar
RHE1C,Indian Rocks Road
1PM49,Murdock Plaza
3BQ7T,Quesada Avenue
GMZ2S,5th Street Southwest
PA5GJ,Governor's Square Mall
DGU11,West Griflow Street
XZ13T,3878
KTFHA,East Fowler Avenue
7N94P,Providence Road
D3U1R,Tamiami Trail South
U7D1W,Immokalee Road
5OXDW,International Plaza and Bay Street
VWAEP,International Plaza and Bay Street
ZOCE1,Corkscrew Village Lane
HU4X9,West Terry Street
RDJ2T,93rd Avenue North
9A9CB,94th Avenue North
4D4FV,Lake City Mall
DZ9C9,Publix Liquors
Q4MBF,Lake Gray Boulevard
80I74,Lake Gray Boulevard
SU512,26th Street West
52VB7,Lee's Alterations
88F90,Legendary Drive
Z980A,Forsyth Road
KLI0Z,Iglesia Cristiana lel Rebano
7AGMP,West Lancaster Road
HEC6A,Pino Gelato Cafe
XL2Q8,Patrol Road
AN2GT,Plaza del Sol
4T6S9,Sevilla Plaza
QJTC5,Sand Lake Road
9M3VQ,Sand Lake Road
ZZG0P,Sand Lake Road
CM7MH,Sand Lake Road
C62YA,Sand Lake Road
S7F81,Sand Lake Road
5AQWK,Sand Lake Road
29O1Q,Maud Street
LE8LU,Maud Street
QYWUQ,Maud Street
2L05Z,University Village Shops
JQ9S0,Aventura Mall
KAJLV,Wekiwa Springs Road
JVJ8B,Westshore Plaza Mall
JR8BX,Orlando Avenue
JJSFH,Orlando Avenue
YKZYT,Webster Avenue
0A3BN,Orlando Avenue
0QMLL,Orlando Avenue
GN4E3,Orlando Avenue
8MD5I,Beachview Avenue
EPV3O,Southwest 135th Terrace
HA3BY,Southwest 135th Terrace
5QXEE,Town Square Center
PBOUW,Hudson
KA5A9,Kingston Drive East
JYCP8,Kingston Drive East
4WNLR,Village Square Shopping Center
1563O,Homestead Station
H7AJR,The Lighthouse Shoppes
C7Z3Y,South Valrico Road
D5AH5,Mirror Terrace Northwest
BQVPS,Freeway Insurance
B6VWX,KWIK Tax Refund
PRQUR,Southeast Plaza
AHJVF,Brickell Smoke Shop
5HFTO,Publix
T2YLE,Federal Highway
JDSUD,Post Avenue Southwest
L5RNM,Avenue O Southwest
R2Z78,Grove Avenue
17WLN,17th Street
BO6W1,Ocooee Plaza
JM2P2,McDonald Terrace
DLNHP,Poinsettia Drive
OI1P6,East Edgewood Drive
YDNBW,Reynolds Street
Z4OXK,Palm Beach Boulevard
GBYPC,Palm Beach Boulevard
3EH9W,Palm Beach Boulevard
DHSOZ,Palm Beach Boulevard
WBHR4,Pierre Lane
S6TNI,Market Square
0LIE9,North Parsons Plaza
V5UEX,ALDI
TGOAP,Brooks Street
8CVH9,Publix
8QDQ1,ALDI
HVLF2,Mason Avenue
71ZX6,Crystal River Mall
E6H7L,8th Avenue Drive West
KB6QG,39th Street West
TQ6F1,Bayou Plaza
CW41B,SoMo Walls
KP9BP,Foot Solutions
BNYNN,Alpine Center
RL2ZX,Florida Keys Outlet Center
P1OK8,American Eagle Outfitters
2SVY9,Southwest 58th Avenue
MHSNL,Dyer Boulevard
49TAH,Sand Lake Road
X1W5S,Sand Lake Road
RQL11,300
HB6PX,Peachland Boulevard
GVL78,Quesada Avenue
KEMYH,Heritage Plaza
1L44Y,Tamiami Trail
R7D00,International Plaza and Bay Street
6IGON,Tour Boat Boarding
PKC5Z,Titusville Mall
Q9UHC,Landmark Shopping Center
I2Z85,LandMark Plaza
6J7MX,Manatee County
Z49CW,CocoWalk
T6H91,RK Village Plaza - Raanan Katz Shopping Center
YNTDI,Legacy Place
INXOR,Market Street At Heath Brook
MBEDA,Palm Beach Outlet
F4YQ3,Tin City
ZVVBM,Orlando International Premium Outlet
CMIQ8,European Village
8RIJ3,The Grove Shoppes
HDGR6,The UPS Store #6657
NMCWK,Anchor Shops & Parking
9CA9L,Homestead Towne Square
GWFAI,Miami Design District
C96WM,Lincoln Center
9MWGH,Wellington Mall
6KXAT,Shout Supermarket
D053F,Chiefland Regional Shopping Center
TE9TH,Upper Buena Vista
2KWB7,ONE DAYTONA
PSOA1,Thrift Life
EGPY5,Natural Food Market Place
6JETS,The Village at Hunter's Lake
X5VJE,Fashion Square Mall
7MIN0,Plaza 800
VNCP9,Shoppes of Winder Oaks
9D88Y,Concorde Plaza
HDL6Q,Southgate Shopping Center
KI71R,Glengary Shoppes
PK54A,Crestwood Square
4J364,Middleton Downtown
4HV6Z,Shoppes at Paradise Pointe
RSIVX,Perry Plaza
YGG92,Sparkman Wharf
8NI8O,University Mall
17O5C,DeSoto Square Mall
FZKH3,Brandon Town Center Drive
9X0UO,Winn-Dixie
7M14R,Lakeview Plaza
WUN42,Rutland Plaza
ZY7ES,Dezerland Park Orlando
7DGS3,The Mall at Millenia
K9N0Z,Old Boynton Road
59011,Old Boynton Road
ZAWIQ,The Mall at Wellington Green
SZ2T9,Miami International Mall
3PHYQ,Treasure Coast Square Mall
6AWUJ,Aleena Diamonds
3Y89M,Westfield Citrus Park
8Z2YC,Kings Highway
ABYB0,CMX Dolphin 19 & IMAX
JFCUJ,The Shops at Wiregrass
7PZL0,East Towne Center
NFMJ4,The Gardens Mall
VZQ8D,Lakeland Square Mall
TZ1IY,The Florida Mall
RTWO5,Mobilezone
0OSCI,Sweets Plaza
U53FZ,Publix
5IHN9,Banana Republic
6L4FY,Lakeshore Mall
OSCBU,Shopping Plaza
1MMRR,Shopping Plaza
7SDH3,Shopping Plaza
QV0ZK,Aventura Mall
MSUS9,Titusville Mall
FGIBE,The Oaks Mall
1RH6T,Live Oak Avenue
RSUXZ,US 27
5HJH2,Tyrone Square Mall
NGCQE,Lake Square Mall
30OWS,Port Charlotte Town Center
NGS1L,Pinellas Park Square
X6J2F,Mama Rosa's
M9ECZ,Merritt Square Mall
BA2M4,Belk
NAJ9Y,I 75
LS1VK,Factory Shops Boulevard
0DK3E,Factory Shops Boulevard
J7QFJ,I 75
YMQFY,I 75
YZDLH,Factory Shops Boulevard
V0WLS,Southwest 139th Avenue
GCHW5,Seminole Mall
5TSIB,Countryside Mall
OSHNY,Crosshill Blvd
9J2GB,Crosshill Blvd
V6DPO,Superior Plaza
V14BY,9680
SO2N4,US 98;US 319
0CI06,Bal Harbour Shops
PU1A0,Seminole Towne Center
6BUUQ,Heritage Walk
V8BI7,Saint George's Row
NATUM,Wellington Mall
QEHNS,Grande Boulevard
NN519,Eagle Ridge Drive
HPJ5A,Worth Avenue
IKHNS,Thacker Avenue
7ABDM,Santa Rosa Mall
UJRJM,Avenue G Southwest
CI619,Mall of the Americas
JH0D6,Hunters Oak Drive
YTVYF,Promenade Square Drive
KJ56T,Hammocks Boulevard
73I7N,Southwest 169th Court
SGTSQ,Higate Square
J4BIW,Great Clips TJ Maxx Plaza
CZAP2,Southwest 42nd Street
WAY8T,Panda Express
688Q9,Southwest 134th Avenue
M281L,Winn-Dixie
CYNEM,Skylake Mall
IET9Q,Bed Bath & Beyond
QM669,Northeast 163rd Street
UQ8EN,13565
3U6FJ,Grand Regency Boulevard
0GNYN,Shops at Merrick Park
E5O4F,Mattress Firm
SQ5OE,Steele Street
8223Y,Spencer Drive
HZ7PO,3913
XUCM5,Publix
2J1IJ,Palm Drive
F7YRK,Sarasota Square Mall
RWCEY,Bliss Salon
VCN1B,Landings Boulevard
XV4FP,Westfield Siesta Key
M4AEY,East Hillsborough Avenue
XMZRM,Hillsboro Plaza
09DAO,Sharon Drive
4YCRT,Plantation Square
MZK7L,dd's Discounts
1CYAM,Armstrong Boulevard
RLTDD,Westgate Plaza
MCU7M,US 27
YHB2J,Woodstock Drive
EDR1Q,Southchase Village
BWAME,Bluffs Square Shoppes
F62U1,I 95
ZNG1U,Colonial Promenade
JEQAZ,Town Center at Boca Raton
N5OOA,Mall at University Town Center
1PPKW,Colony Square Drive
67F63,Colony Boulevard
PP0IZ,Philips Highway
0KJD7,Volusia Mall
YJVKA,Broadway's
9G15X,415
ZIGMZ,Hopewell Avenue
CTSNC,James L Redman Parkway
NN8KF,Today's Male
JF44Y,Southwest 89th Lane
ZALTC,Gulf View Square Mall
7H0JS,Bartow Shopping Center
X65N4,Century 21
D2DLW,Brandon Center
DLF41,Clayton Mall
4LLXU,Tampa Premium Outlets
SZ42F,Okeechobee Boulevard
WSY4X,Westland Mall
BN91H,Ultramont Mall
28L6F,B&B Joint
I2AR9,West 1st Avenue
C24LZ,Uleta Plaza
JNN4Y,Lincoln Road Mall
73NMZ,Canton Avenue
JQGT7,430
S168M,Indian River Mall
MUAJF,Southwest 91st Court
FUICZ,Southwest 136th Street
GNLIG,Southwest 135th Terrace
N7DQX,Sunshine Park Mall
Q80HU,Centre of Tallahassee
6V5LX,Altamonte Mall
72ZT4,Palm Plaza
0KVRX,Tommy Hilfiger
IJ0E6,Mattress Firm
VMIYM,Southwest 120th Street
82RS5,TJ Max
R7W6E,Community Drive
T4FMN,Old Military Trail
MD89I,South Chillingworth Drive
NP2VK,Frank Street
S370J,The Big Apple Shopping Bazaar
4QDBA,Indian Rocks Road
XHG6Y,Murdock Plaza
43Z9U,Quesada Avenue
LT1BI,5th Street Southwest
JVD7K,Governor's Square Mall
D620E,West Griflow Street
PCX1F,3878
QPNXD,East Fowler Avenue
NSKOO,Providence Road
NO4RZ,Tamiami Trail South
RU808,Immokalee Road
A5RKE,International Plaza and Bay Street
56YCC,International Plaza and Bay Street
9VBBT,Corkscrew Village Lane
P6UTE,West Terry Street
M6AEN,93rd Avenue North
ZFV11,94th Avenue North
YID2G,Lake City Mall
D4C8S,Publix Liquors
L2RUF,Lake Gray Boulevard
5Y4G4,Lake Gray Boulevard
CX98P,26th Street West
IITEP,Lee's Alterations
BWZ3Y,Legendary Drive
E1HVM,Forsyth Road
GIEQK,Iglesia Cristiana lel Rebano
HYWW8,West Lancaster Road
E53E6,Pino Gelato Cafe
03ACM,Patrol Road
CNYN5,Plaza del Sol
W5Q10,Sevilla Plaza
QGHPW,Sand Lake Road
TKR9N,Sand Lake Road
G36JL,Sand Lake Road
R01IA,Sand Lake Road
APY9B,Sand Lake Road
NDZLG,Terrance Florida Mall
8FADK,American Signature
YWIZ5,Maud Street
X1G6H,Maud Street
YN9IS,Maud Street
KH5SX,University Village Shops
F3KWW,Aventura Mall
76BB9,Wekiwa Springs Road
7EVIQ,Westshore Plaza Mall
Y53ZH,Orlando Avenue
L2FBK,Orlando Avenue
7LOJ0,Webster Avenue
5JDVW,Orlando Avenue
UTX23,Orlando Avenue
1CVDL,Orlando Avenue
35TEV,Beachview Avenue
GPPJ6,Southwest 135th Terrace
F6ENZ,Southwest 135th Terrace
SR4WI,Town Square Center
R5YRT,Hudson
YPC6V,Kingston Drive East
4WOP9,Kingston Drive East
FQ300,Village Square Shopping Center
YYTDN,Homestead Station
HK671,The Lighthouse Shoppes
SMHWJ,South Valrico Road
G6W75,Mirror Terrace Northwest
EEBDK,Freeway Insurance
MDBU3,KWIK Tax Refund
4MSK9,Southeast Plaza
VYLRL,Brickell Smoke Shop
E1DPD,Publix
LNRY3,Federal Highway
6KK1M,Post Avenue Southwest
MMKXT,Avenue O Southwest
QYX7B,Grove Avenue
CHVMN,17th Street
ZUQHO,Ocooee Plaza
HCCTT,McDonald Terrace
PZPFF,Poinsettia Drive
Z22W3,East Edgewood Drive
BZ6SO,Reynolds Street
IVXJL,Palm Beach Boulevard
YCRYA,Palm Beach Boulevard
AWO8F,Palm Beach Boulevard
UOF8K,Palm Beach Boulevard
HDWYE,Pierre Lane
90233,Market Square
SKN46,North Parsons Plaza
D6O6Z,ALDI
EPNY8,Brooks Street
Q0FGQ,Publix
E7Z4J,ALDI
PI7VF,Mason Avenue
UYRU7,Crystal River Mall
U6Z80,8th Avenue Drive West
4PF07,39th Street West
496QD,Bayou Plaza
89B65,SoMo Walls
KVAXW,Foot Solutions
QHJOI,Alpine Center
8K6MF,Florida Keys Outlet Center
4CMUK,American Eagle Outfitters
Q6AB9,Southwest 58th Avenue
B4UFG,Dyer Boulevard
20ZTQ,Sand Lake Road
BQWJQ,Sand Lake Road
1Q5Z0,300
3H53G,Peachland Boulevard
L0UJ4,Quesada Avenue
UK4HC,Heritage Plaza
T8WKQ,Tamiami Trail
2GIT1,International Plaza and Bay Street
SAXJ3,Tour Boat Boarding
9LVNH,Titusville Mall
BMGS6,Landmark Shopping Center
BX1BU,LandMark Plaza
SROS1,Lakeview Shopping Center
A9S5H,Carrollwood Commons
5KWRX,Manatee County
N0LVC,CocoWalk
PWS87,RK Village Plaza - Raanan Katz Shopping Center
FPIWF,Shoppes at 104
Q1B35,Bird Galloway Center
P7IHV,Centro Comercial Managua
0BN6W,Legacy Place
RFOP9,Northlake Promenade Shoppes
H2832,Market Street At Heath Brook
XYR86,Palm Beach Outlet
DA6HU,Tin City
VFDCO,Orlando International Premium Outlet
K14A9,European Village
LTZI4,The Grove Shoppes
AN4HR,The UPS Store #6657
OUNEA,Anchor Shops & Parking
OBW9A,Homestead Towne Square
CRQWJ,Miami Design District
QECMK,Lincoln Center
6CW9R,Wellington Mall
IMOLF,Shout Supermarket
UWCRX,Chiefland Regional Shopping Center
JXKDI,Upper Buena Vista
W10FT,ONE DAYTONA
7I7TY,Thrift Life
PBNSO,Natural Food Market Place
S8DZO,The Village at Hunter's Lake
7J4RM,Fashion Square Mall
1Z5H7,Plaza 800
IEKBU,Shoppes of Winder Oaks
L0155,Concorde Plaza
OQYGD,Southgate Shopping Center
4WYMP,Glengary Shoppes
OUOEM,Crestwood Square
X9U4H,Middleton Downtown
9ETOY,Shoppes at Paradise Pointe
UKS68,Perry Plaza
KKPRS,Sparkman Wharf
2DKHW,University Mall
L9T21,DeSoto Square Mall
BR5ZW,Brandon Town Center Drive
1P3ZQ,Winn-Dixie
4FGD2,Lakeview Plaza
CZZC8,Rutland Plaza
PL25J,Dezerland Park Orlando
AEA26,The Mall at Millenia
KC7J7,Old Boynton Road
J7BI6,Old Boynton Road
31E7H,The Mall at Wellington Green
YSGFQ,Miami International Mall
G89L5,Treasure Coast Square Mall
5RN79,Aleena Diamonds
LIKNV,Westfield Citrus Park
GY1YH,West Village Drive
S9SHW,Kings Highway
60K11,CMX Dolphin 19 & IMAX
T2P8X,The Shops at Wiregrass
ZIHH0,East Towne Center
L9431,The Gardens Mall
JW4BW,Lakeland Square Mall
NMF0N,The Florida Mall
UVH8S,Mobilezone
8N4EF,Sweets Plaza
NZ0OG,Publix
G4Z9U,Banana Republic
YGJH9,Publix
AO6SX,Lakeshore Mall
ZVNYQ,Shopping Plaza
LGSPD,Shopping Plaza
64PHE,Shopping Plaza
XQN59,Aventura Mall
R4QFT,9180
AMQZJ,Titusville Mall
F6GBD,The Oaks Mall
31AYS,Live Oak Avenue
CVALK,US 27
5NRGB,Tyrone Square Mall
PSX4D,Lake Square Mall
HHCE2,Port Charlotte Town Center
0R4N9,Pinellas Park Square
689T9,Mill Creek Mall
XYZKN,Mama Rosa's
LFSNZ,Merritt Square Mall
94IBH,Belk
U3BQH,I 75
W7RBF,Factory Shops Boulevard
FM60D,Factory Shops Boulevard
5FSRK,I 75
8DAJU,I 75
9Y7PD,Factory Shops Boulevard
PX0FI,Southwest 139th Avenue
9VGR1,Seminole Mall
TECSV,Countryside Mall
3JSLL,Avecina Urgent Care Clinic
A7BF3,Argyle Family Dentistry
3RDGB,Merchants Gate Drive
S814P,Endless Tan
3S7GT,Merchants Gate Drive
Q188P,Crosshill Blvd
6R54S,Argyle Forest Boulevard
SK2AJ,GNC
7D9VI,Barber Shop
LPWCA,Crosshill Blvd
VNNV7,Old Middleburg Road South
QAO9J,Merchants Gate Drive
NM48D,Justice
JP452,Crosshill Blvd
LN1OX,Crosshill Blvd
28K6F,Crosshill Blvd
Q2ZMH,Crosshill Blvd
MU9DS,Dollar Tree
1H5T1,Superior Plaza
W4BQZ,9680
0P7WC,US 98;US 319
6BDD9,Bal Harbour Shops
JOWLI,Seminole Towne Center
18HM5,Heritage Walk
RIUG0,Saint George's Row
MXHZN,Wellington Mall
TIGJ2,Grande Boulevard
AN24V,Eagle Ridge Drive
KODKF,Worth Avenue
RFYUZ,Worth Avenue
OVP5A,Goodyear Auto Service Center
1VYYH,Thacker Avenue
TIW8E,Argyle Forest Boulevard
6ATKD,Santa Rosa Mall
16X2O,Avenue G Southwest
SXTKY,Mall of the Americas
MULZV,Hunters Oak Drive
1W0JI,Promenade Square Drive
RZ8MU,Hammocks Boulevard
EQE9D,Southwest 169th Court
7S3V0,14790
3BEZ9,Kendale Lakes Plaza
HH1EE,Higate Square
94VC2,Great Clips TJ Maxx Plaza
VETB6,Southwest 59th Street
C4551,Southwest 42nd Street
HHHSO,Panda Express
09PI3,Southwest 134th Avenue
1B369,Winn-Dixie
EQRX1,Skylake Mall
YL8XO,Champion Plaza
7EE9W,Northeast 163rd Street
2N7K9,9045
XWYAX,13565
5E8YV,Grand Regency Boulevard
TMLSU,Grand Regency Boulevard
DO132,Shops at Merrick Park
DTC4E,10063-1 Baymeadows Ap
3C9E8,Mattress Firm
G1CR8,Steele Street
VBEQF,Spencer Drive
XFDMF,3913
IH2L6,Publix
VQ2M0,Palm Drive
2TPM6,South Tamiami Trail
029Y6,Sarasota Square Mall
FKW3O,Bliss Salon
A4K7J,Clark Road
3SDB7,Auburn Court
ET7D6,South Lockwood Ridge Road
VWVWG,Landings Boulevard
LEYEC,Versailles Street
SPR9N,Westfield Siesta Key
99IYE,Fruitville Road
6TM7I,East Hillsborough Avenue
0CK5Y,Hillsboro Plaza
F9TXP,Thonotosassa Road
UI3LX,Sleepy Hill Road
OCO9P,Sharon Drive
0GA8N,Maple Street
14RRJ,Plantation Square
TXY0C,dd's Discounts
AN8HB,Armstrong Boulevard
S5Q1D,East Vine Street
2MDE3,Bronson Highway
2D07M,Bronson Highway
R1SEN,Westgate Plaza
W92EW,US 98
DLNOS,US 27
TNBZK,Woodstock Drive
YLJM9,Southchase Village
HSWDO,Shoppes of Oakbrook
QS62T,Bluffs Square Shoppes
3YAJQ,Sabal Palm Shopping Center
OM4HR,Collier Boulevard
8WBE3,324
YMBO9,Shopping Center Drive
L0ZW2,I 95
K8AJM,Colonial Promenade
67W9A,Town Center at Boca Raton
OCRA0,Mall at University Town Center
HB19F,Paragon Ocean Walk 10
JR0M4,Colony Square Drive
M9Q3Z,Colony Boulevard
19IA5,Philips Highway
LAM36,Volusia Mall
P1JRG,Broadway's
92E0R,415
BZENM,Hopewell Avenue
QOCRD,East Alexander Street
3T6R3,James L Redman Parkway
SVVFU,East Alexander Street
JYUEF,James L Redman Parkway
9AJQR,Today's Male
NHHEU,Sunset Harbour Shops
HSZM1,James L Redman Parkway
1NAYS,Southwest 89th Lane
3WVGI,Gulf View Square Mall
7HB97,Cordova Mall
7XK4E,Bartow Shopping Center
T74WZ,Century 21
3TPX5,Brandon Center
MIUXR,Clayton Mall
DGOJ2,West Langford Drive
BB1UX,Tampa Premium Outlets
4QJ8W,Okeechobee Boulevard
NG8W0,Westland Mall
VHNH0,Ultramont Mall
C8IOH,B&B Joint
YU1B4,West 1st Avenue
9CRUG,Uleta Plaza
9WRHZ,Lincoln Road Mall
9PIXV,Canton Avenue
13GGQ,430
97B9O,Indian River Mall
CIFHJ,Southwest 91st Court
1VFAH,Southwest 136th Street
IYRVS,Southwest 135th Terrace
H7H14,Sunshine Park Mall
4YC8L,Centre of Tallahassee
FHT7H,Altamonte Mall
AB54Q,Palm Plaza
IUW2V,Tommy Hilfiger
C3EWV,Mattress Firm
OKG1A,Southwest 120th Street
3FFYG,TJ Max
A642X,Community Drive
M8BW9,Old Military Trail
8Y20F,South Chillingworth Drive
5HW5T,Frank Street
C4DRZ,The Big Apple Shopping Bazaar
TBIC8,Indian Rocks Road
G06D1,Murdock Plaza
BKYMD,Quesada Avenue
NKUJI,5th Street Southwest
WVFPN,Governor's Square Mall
8X0LJ,West Griflow Street
UKXJ2,3878
D9ZGK,East Fowler Avenue
Z9524,Providence Road
QHWBJ,Tamiami Trail South
C0BHG,Immokalee Road
WMFRI,International Plaza and Bay Street
46MXT,International Plaza and Bay Street
FP0NZ,Corkscrew Village Lane
LS7KL,West Terry Street
7ODRC,93rd Avenue North
GDSXG,94th Avenue North
CAFD4,Lake City Mall
1G68P,Publix Liquors
F17EG,Lake Gray Boulevard
1F76N,Lake Gray Boulevard
V3P62,26th Street West
MD2K2,Lee's Alterations
WY756,Legendary Drive
JTLJU,Forsyth Road
WHFAL,Iglesia Cristiana lel Rebano
5INTZ,West Lancaster Road
08Q3T,Pino Gelato Cafe
VG7V3,Patrol Road
DJLS9,Plaza del Sol
YC4IL,Sevilla Plaza
930NZ,Sand Lake Road
YG85D,Sand Lake Road
XC1BN,Sand Lake Road
KGHD3,Sand Lake Road
1RSYV,Sand Lake Road
5ED3P,Sand Lake Road
A9SSR,Sand Lake Road
XUPPF,Maud Street
A9TM1,Maud Street
8NVNM,Maud Street
1YQ8A,University Village Shops
C7F7J,Aventura Mall
X2E2B,Wekiwa Springs Road
IPN31,Westshore Plaza Mall
964SA,Orlando Avenue
GPYJ9,Orlando Avenue
22405,Webster Avenue
YY6M5,Orlando Avenue
JSBAE,Orlando Avenue
FJWTS,Orlando Avenue
KF022,Beachview Avenue
2TBIY,Southwest 135th Terrace
O53KR,Southwest 135th Terrace
6YSPG,Town Square Center
AKI33,Hudson
PXI2C,Kingston Drive East
XHQNJ,Kingston Drive East
R3ALT,Village Square Shopping Center
4HJUQ,Homestead Station
NUP2V,The Lighthouse Shoppes
WWWF4,South Valrico Road
3UMFT,Mirror Terrace Northwest
3A6NU,Freeway Insurance
UTZGA,KWIK Tax Refund
R5FXU,Southeast Plaza
0YQ22,Brickell Smoke Shop
WDEYR,Publix
GIZAC,Federal Highway
TI2FZ,Post Avenue Southwest
9WL1A,Avenue O Southwest
IW05V,Grove Avenue
WXSRT,17th Street
DX8OY,Ocooee Plaza
SEVMR,McDonald Terrace
C713V,Poinsettia Drive
ETYUM,East Edgewood Drive
6CUI0,Reynolds Street
T0PV0,Palm Beach Boulevard
24L5P,Palm Beach Boulevard
EA56I,Palm Beach Boulevard
6FXUT,Palm Beach Boulevard
TQPQU,Pierre Lane
CA4MM,Market Square
5DOO6,North Parsons Plaza
7WNYJ,ALDI
DNGRE,Brooks Street
XR5VH,Publix
IUG06,ALDI
MV5BU,Mason Avenue
VQL4G,Crystal River Mall
U4741,8th Avenue Drive West
UEAGM,39th Street West
T7670,Bayou Plaza
Y6288,SoMo Walls
6NGPY,Foot Solutions
9ES58,Alpine Center
ECSVX,Florida Keys Outlet Center
MIUJW,American Eagle Outfitters
TQPUU,Southwest 58th Avenue
KGDPA,Dyer Boulevard
ECDB9,Sand Lake Road
U1CNV,Sand Lake Road
88WII,300
SNXEZ,Peachland Boulevard
6UWEP,Quesada Avenue
61LYR,Heritage Plaza
G52ZP,Tamiami Trail
Q32YN,International Plaza and Bay Street
20QEC,Tour Boat Boarding
Y490N,Titusville Mall
2O9D6,Landmark Shopping Center
OGFT3,LandMark Plaza
E1S8P,Lakeview Shopping Center
1CLSK,Carrollwood Commons
NA5GC,Manatee County
V6LOM,CocoWalk
3YXDQ,RK Village Plaza - Raanan Katz Shopping Center
12SNW,Shoppes at 104
4YVV4,Bird Galloway Center
04RQP,Centro Comercial Managua
FIJSU,Legacy Place
K2OSX,Northlake Promenade Shoppes
MDXDH,Market Street At Heath Brook
EUAM3,Palm Beach Outlet
ZNW0A,Tin City
9LW7C,Orlando International Premium Outlet
PGI3G,European Village
XUCD6,The Grove Shoppes
K3IAU,The UPS Store #6657
5USXD,Anchor Shops & Parking
ZX7VG,Homestead Towne Square
U8AQS,Miami Design District
HL0KI,Lincoln Center
G1BUC,Wellington Mall
RXJAU,Shout Supermarket
5OUMY,Chiefland Regional Shopping Center
TM3E6,Upper Buena Vista
SOZCC,ONE DAYTONA
ANC3H,Thrift Life
DI1RJ,Natural Food Market Place
5RSLF,The Village at Hunter's Lake
PDJ3T,Fashion Square Mall
5A4R8,Plaza 800
V0Y0J,Shoppes of Winder Oaks
QHE66,Concorde Plaza
ZV4AL,Southgate Shopping Center
QBGE5,Glengary Shoppes
U051V,Crestwood Square
V0RWL,Middleton Downtown
4NLTM,Shoppes at Paradise Pointe
F5KXR,Perry Plaza
R5AIE,Sparkman Wharf
S3TYA,University Mall
1ZISR,DeSoto Square Mall
UE47U,Brandon Town Center Drive
DZNZJ,Winn-Dixie
VLBO5,Lakeview Plaza
JCD15,Rutland Plaza
TIV70,Dezerland Park Orlando
MEROM,The Mall at Millenia
THT8D,Old Boynton Road
J9IYV,Old Boynton Road
1PDGS,The Mall at Wellington Green
TYW35,Miami International Mall
B2M2B,Treasure Coast Square Mall
F66O6,Aleena Diamonds
N12XR,Westfield Citrus Park
YX51O,West Village Drive
6Y9AO,Kings Highway
DC0M3,CMX Dolphin 19 & IMAX
ZPY5J,The Shops at Wiregrass
F0ZU6,East Towne Center
FLCAR,The Gardens Mall
H6CS5,Lakeland Square Mall
OWFIG,The Florida Mall
2KRRO,Mobilezone
QDO7C,Sweets Plaza
878R6,Publix
IGM8U,Banana Republic
