id_centros_entretenimiento,centros_entretenimiento,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,categorias,puntuacion_usuarios,analisis_sentimientos,url_del_negocio,anio,categoria_general,atributo,categoria,ranquing_por_usuario,url
L8K5R,Sweetfields Farm,17250 Benes Roush Rd,m9Kl,Hernando,"34601, 34608, 34609",28.5578826,-82.4752757,cFVg,Masaryktown,34604,28.4416658,-82.4570394,Florida,"Zoos, Active Life, Food, Farmers Market",4.5,positivo,,2015,Entretenimiento,,,,
Q8EGC,Tampa Bay Aquarium,14851 N Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Active Life, Aquariums",3.5,positivo,,2015,Entretenimiento,,,,
L8DRD,Tampa Bay Automobile Museum,3301 Gateway Centre Blvd,1U8v,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,SJ01,Pinellas Park,33781,27.8428025,-82.6995443,Florida,"Museums, Arts & Entertainment",5,positivo,,2015,Entretenimiento,,,,
QM6BS,Tampa Bay Buccaneers,4201 N Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Amusement Parks, Active Life, Professional Sports Teams, Stadiums & Arenas, Arts & Entertainment",4,negativo,,2015,Entretenimiento,,,,
MJC6O,Tampa Bay Escape Room,625 Cleveland St,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Active Life, Amusement Parks, Escape Games",5,positivo,,2015,Entretenimiento,,,,
ZSYX3,Tampa Bay Grand Prix,3404 Cragmont Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Race Tracks, Go Karts, Sporting Goods, Shopping, Amusement Parks, Active Life, Arts & Entertainment, Venues & Event Spaces, Event Planning & Services",2.5,positivo,,2015,Entretenimiento,,,,
SLXIB,SkateWorld,7510 Paula Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Active Life, Event Planning & Services, Skating Rinks, Party & Event Planning, Sporting Goods, Amusement Parks, Home Services, Shopping, Home Cleaning",3.5,positivo,,2015,Entretenimiento,,,,
D0L94,Tampa Bay History Center,801 Water St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Museums",4.5,positivo,,2015,Entretenimiento,,,,
O1TSI,SimCenter Tampa Bay,483 Mandalay Ave,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Venues & Event Spaces, Event Planning & Services, Arts & Entertainment, Arcades, Active Life, Amusement Parks",5,positivo,,2015,Entretenimiento,,,,
2WZLQ,The Dinner Detective,"Hilton Garden Inn Tampa Airport Westshore, 5312 Avion Park Dr",W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Ticket Sales, Dinner Theater, Nightlife, Comedy Clubs, Performing Arts, Arts & Entertainment, Restaurants",4,positivo,,2015,Entretenimiento,,,,
T15ZM,The Florida Holocaust Museum,55 5th St S,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Museums, Arts & Entertainment",4,negativo,,2015,Entretenimiento,,,,
NVGJC,Touchstar Cinemas - Seminole 8,7990 Liberty Ln,FZkQ,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,8ZKX,Seminole,33772,27.8397466,-82.7912134,Florida,"Arts & Entertainment, Cinema",3.5,negativo,,2015,Entretenimiento,,,,
90RHR,Touchstar Cinemas - Spring Hill 8,2955 Commercial Way,EBet,Hernando,"34601, 34608, 34609",28.5578826,-82.4752757,I0WF,Spring Hill,"34606, 34609",28.4831682,-82.5369872,Florida,"Arts & Entertainment, Cinema",4,positivo,,2015,Entretenimiento,,,,
FEUC6,Treasure Island Fun Center,7770 Seminole Blvd,FZkQ,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,8ZKX,Seminole,33772,27.8397466,-82.7912134,Florida,"Pizza, Arcades, Active Life, Arts & Entertainment, Event Planning & Services, Amusement Parks, Party & Event Planning, Restaurants",4,positivo,,2015,Entretenimiento,,,,
2UZGT,TreeHoppers Aerial Adventure Park,27839 Saint Joe Rd,A3xo,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,3JZK,Dade City,"33523, 33525",28.3647248,-82.1959178,Florida,"Amusement Parks, Party & Event Planning, Parks, Active Life, Ziplining, Event Planning & Services, Challenge Courses",4.5,positivo,,2015,Entretenimiento,,,,
A8GI9,Villagio Cinemas,11778 N Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Cinema, Nightlife, Pizza, Italian, Arts & Entertainment, Burgers, Restaurants, Lounges, Bars",3,positivo,,2015,Entretenimiento,,,,
TAR53,Wazoo at Lowry Park Zoo,1101 W Sligh Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Zoos, Arts & Entertainment, Active Life, Festivals",3.5,positivo,,2015,Entretenimiento,,,,
B5B0U,Westside Aquarium & Pets,3409 S Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Active Life, Pet Stores, Aquariums, Pets",4.5,positivo,,2015,Entretenimiento,,,,
FWZFL,Winter's Dolphin Tale Adventure,249 Windward Passage,UAIE,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,MCCU,Clearwater,"33755, 33756, 33759",27.9655722,-82.7958948,Florida,"Arts & Entertainment, Museums, Active Life, Amusement Parks",3,negativo,,2015,Entretenimiento,,,,
5XWRA,X-Treme Fun Center,13211 93rd St N,e3jL,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,LIFE,Largo,"33770, 33771",27.9094665,-82.7873244,Florida,"Active Life, Amusement Parks, Arts & Entertainment, Party & Event Planning, Arcades, Event Planning & Services, Laser Tag, Batting Cages",3.5,positivo,,2015,Entretenimiento,,,,
AV78K,Xtreme Adventures,24810 State Rd 54,cwIb,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,1GQ7,Lutz,"33548, 33549",28.1511243,-82.4614831,Florida,"Amusement Parks, Arts & Entertainment, Kids Activities, Team Building Activities, Event Planning & Services, Venues & Event Spaces, Challenge Courses, Arcades, Fitness & Instruction, Gyms, Laser Tag, Active Life",2.5,positivo,,2015,Entretenimiento,,,,
SI4BS,Ybor City Chamber of Commerce Visitor Information Center,1600 E 8th Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Community Service/Non-Profit, Local Services, Hotels & Travel, Travel Services, Visitor Centers, Arts & Entertainment, Shopping, Landmarks & Historical Buildings, Museums, Souvenir Shops, Public Services & Government",4.5,positivo,,2015,Entretenimiento,,,,
4QTY2,Ybor City Museum State Park,1818 E 9th Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Museums, Arts & Entertainment",4,positivo,,2015,Entretenimiento,,,,
4J4UJ,Zoo Tampa at Lowry Park,1101 W Sligh Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Active Life, Local Flavor, Zoos, Kids Activities",3.5,positivo,,2015,Entretenimiento,,,,
CR7HY,ZooTampa at Lowry Park,1101 W Sligh Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Zoos, Tours, Arts & Entertainment, Hotels & Travel, Active Life",4,positivo,,2015,Entretenimiento,,,,
KZXTN,The Vault,611 N Franklin St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Party & Event Planning, Event Planning & Services, Cinema, Venues & Event Spaces",4,negativo,,2015,Entretenimiento,,,,
UXZRZ,The Florida Aquarium,701 Channelside Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Active Life, Day Camps, Aquariums, Venues & Event Spaces, Event Planning & Services, Arts & Entertainment, Education, Wedding Planning, Local Services, Botanical Gardens, Elementary Schools, Community Service/Non-Profit",3.5,positivo,,2015,Entretenimiento,,,,
3LAKJ,SheiKra,10165 N McKinley Dr,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Amusement Parks, Active Life",4.5,positivo,,2015,Entretenimiento,,,,
OXP5C,International Plaza and Bay Street,"International Plaza, Cornerstone Plaza",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2015,Entretenimiento,,,,
R0WNW,Tampa Firefighters Museum,720 E Zack St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Venues & Event Spaces, Event Planning & Services, Arts & Entertainment, Museums",4,positivo,,2015,Entretenimiento,,,,
IWSKO,Tampa Pitcher Show,14416 N Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"American (New), Arts & Entertainment, Music Venues, Nightlife, Restaurants, Cinema, Event Planning & Services, Venues & Event Spaces",3.5,positivo,,2015,Entretenimiento,,,,
RKNC8,CocoWalk,"3015, Grand Avenue",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
UTCA6,Manatee County,"Florida, 34222",mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,"34205, 34208",27.4989278,-82.5748194,Florida,,,,,2015,Entretenimiento,,,,
BFE4V,LandMark Plaza,"East Fletcher Avenue, Hillsborough",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2015,Entretenimiento,,,,
8TIMH,Landmark Shopping Center,"North 20th Street, Hillsborough",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2015,Entretenimiento,,,,
AFTEV,Chiefland Regional Shopping Center,"2202, Young Boulevard",E4Id,Levy,"32621, 32696",29.3178545,-82.820974,8YJC,Bronson,32622,29.4477445,-82.6423336,Florida,,,,,2015,Entretenimiento,,,,
UUTB1,ONE DAYTONA,"Daytona Boulevard, Daytona Beach",Fxcr,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,CVZR,Daytona Beach,"32114, 32118",29.2108147,-81.0228331,Florida,,,,,2015,Entretenimiento,,,,
7JPE4,Thrift Life,"296, San Marco Street",oU90,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,SB9H,Elkton,32033,29.7829858,-81.4258833,Florida,,,,,2015,Entretenimiento,,,,
A4482,Rutland Plaza,"Meadowlawn Drive North, Meadowlawn",TnXm,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,9EV3,San Petersburgo,"33701, 33713",27.7671271,-82.6384451,Florida,,,,,2015,Entretenimiento,,,,
I7FHX,Lakeview Plaza,"Cypress Edge Drive, Palm Coast",7ZS2,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,7IG8,Bunnell,32110,29.4660863,-81.2578416,Florida,,,,,2015,Entretenimiento,,,,
M2OJM,Winn-Dixie,"2535, Bon Vie Place",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2015,Entretenimiento,,,,
J9Z97,Brandon Town Center Drive,"Brandon, Hillsborough",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2015,Entretenimiento,,,,
BWLLY,DeSoto Square Mall,"3rd Street West, South Bradenton",mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,"34205, 34208",27.4989278,-82.5748194,Florida,,,,,2015,Entretenimiento,,,,
J2532,Centro Ybor,"East 9th Avenue, Ybor City",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2015,Entretenimiento,,,,
FR08K,Sparkman Wharf,"615, Channelside Drive",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2015,Entretenimiento,,,,
SCDKU,Perry Plaza,"Perry Avenue Southeast, Fort Walton Beach",rK5s,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,1YJ4,Baker,32531,30.7971318,-86.681344,Florida,,,,,2015,Entretenimiento,,,,
RH5HL,Shoppes at Paradise Pointe,"Perry Avenue Southeast, Fort Walton Beach",rK5s,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,1YJ4,Baker,32531,30.7971318,-86.681344,Florida,,,,,2015,Entretenimiento,,,,
CZ5R3,Middleton Downtown,"Doctor Randy McDaniel Way, Wildwood",4ZSv,Marion,"34470, 34481, 34488",29.2787765,-82.12784,UIPT,The Villages,"32162, 32163",28.927019,-82.0037608,Florida,,,,,2015,Entretenimiento,,,,
APOPF,RK Village Plaza - Raanan Katz Shopping Center,"Collins Avenue, Sunny Isles Beach",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
K33AR,Tampa Museum of Art,120 W Gasparilla Plz,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Art Galleries, Arts & Entertainment, Museums, Shopping, Art Museums",3.5,positivo,,2015,Entretenimiento,,,,
A1ZL8,Legacy Place,"Fairchid Extension, Monet",WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,"33401, 33409, 33417",26.7144532,-80.0549456,Florida,,,,,2015,Entretenimiento,,,,
NTU2O,Palm Beach Outlet,"1751, Palm Beach Lakes Boulevard",WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,"33401, 33409, 33417",26.7144532,-80.0549456,Florida,,,,,2015,Entretenimiento,,,,
2V69L,Tampa Theatre,711 N Franklin St,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Arts & Entertainment, Cinema, Music Venues, Nightlife, Venues & Event Spaces, Event Planning & Services",4.5,positivo,,2015,Entretenimiento,,,,
ASKIL,Tarpon Springs Aquarium and Animal Sanctuary,1722 N Pinellas Ave,Nq9L,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,3IGC,Tarpon Springs,"34688, 34689",28.1461248,-82.7567679,Florida,"Tours, Hotels & Travel, Active Life, Zoos, Aquariums, Amusement Parks",3.5,positivo,,2015,Entretenimiento,,,,
EEJ6D,Tarpon Springs Historical Society Railroad Station Museum,160 E Tarpon Ave,Nq9L,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,3IGC,Tarpon Springs,"34688, 34689",28.1461248,-82.7567679,Florida,"Museums, Souvenir Shops, Local Flavor, Shopping, Arts & Entertainment",4.5,positivo,,2015,Entretenimiento,,,,
O3KZA,The Coral Corral,13510 Prestige Pl,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Active Life, Aquariums, Pet Stores, Local Fish Stores, Pets",5,positivo,,2015,Entretenimiento,,,,
5Z38H,The Dali Museum,1 Dali Blvd,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Museums, Arts & Entertainment, Art Museums, Shopping, Art Galleries",4.5,positivo,,2015,Entretenimiento,,,,
BZLDC,Upper Buena Vista,"Northeast 50th Terrace, Miami",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
5G8QK,Shout Supermarket,"North Olive Avenue, West Palm Beach",WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,"33401, 33409, 33417",26.7144532,-80.0549456,Florida,,,,,2015,Entretenimiento,,,,
H0WC5,Wellington Mall,"10300, Ring Road",WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,"33401, 33409, 33417",26.7144532,-80.0549456,Florida,,,,,2015,Entretenimiento,,,,
XLGNY,Lincoln Center,"690, Lincoln Road",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
SVHRY,Miami Design District,"140, Northeast 39th Street",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
6K0PZ,Homestead Towne Square,"Dixie Highway, Homestead",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
0W4K2,Anchor Shops & Parking,"16th Street, Miami Beach",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
VU38H,The UPS Store #6657,"6526, Old Brick Road",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2015,Entretenimiento,,,,
L1V2I,The Grove Shoppes,"Saint George Street, Model Land Historic District",oU90,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,SB9H,Elkton,32033,29.7829858,-81.4258833,Florida,,,,,2015,Entretenimiento,,,,
PZMQV,European Village,"European Village Loop, European Village",7ZS2,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,7IG8,Bunnell,32110,29.4660863,-81.2578416,Florida,,,,,2015,Entretenimiento,,,,
0WUZ6,Orlando International Premium Outlet,"4951, International Drive",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2015,Entretenimiento,,,,
E8IF3,Tin City,"1200, 5th Avenue South",V1oO,Collier,"34102, 34112, 34120",26.069985,-81.4278984,R3EM,Naples,"34102, 34103",26.1420358,-81.7948103,Florida,,,,,2015,Entretenimiento,,,,
WU2FU,Market Street At Heath Brook,"FL 200, The Estates at Heathbrook",KWSo,Marion,"34470, 34481, 34488",29.2787765,-82.12784,32TL,Citra,33434,29.4119166,-82.1098156,Florida,,,,,2015,Entretenimiento,,,,
RAVKX,94th Avenue North,"Naples Park, Collier",V1oO,Collier,"34102, 34112, 34120",26.069985,-81.4278984,R3EM,Naples,"34102, 34103",26.1420358,-81.7948103,Florida,,,,,2015,Entretenimiento,,,,
SZH0F,University Mall,"2200, East Fowler Avenue",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2015,Entretenimiento,,,,
M6AL4,Factory Shops Boulevard,"Manatee , Florida",mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,"34205, 34208",27.4989278,-82.5748194,Florida,,,,,2015,Entretenimiento,,,,
ADAN2,Promenade Square Drive,"The Cottages at Hunter's Creek, Hunters Creek",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2015,Entretenimiento,,,,
S4I7Q,Hunters Oak Drive,"Hunter's Creek Plaza, Hunters Creek",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2015,Entretenimiento,,,,
VXEDC,Mall of the Americas,"7795, West Flagler Street",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
ZM83D,Avenue G Southwest,"Winter Haven Citi Center, Winter Haven",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2015,Entretenimiento,,,,
14B49,Santa Rosa Mall,"300, Mary Esther Boulevard",rK5s,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,1YJ4,Baker,32531,30.7971318,-86.681344,Florida,,,,,2015,Entretenimiento,,,,
7YK4E,Thacker Avenue,"Kissimmee, Osceola",pyYM,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,OJFG,Kenansville,34739,27.8764614,-80.9882554,Florida,,,,,2015,Entretenimiento,,,,
58EKO,Worth Avenue,"Via Parigi, Via Mizner",WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,"33401, 33409, 33417",26.7144532,-80.0549456,Florida,,,,,2015,Entretenimiento,,,,
R372Q,Shops at Merrick Park,"358, San Lorenzo Avenue",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
4CGI5,Hammocks Boulevard,"The Hammocks, Miami-Dade",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
9H0SD,Shopping Plaza,"Gulf to Bay Boulevard, Bay Park Apartments",TnXm,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,9EV3,San Petersburgo,"33701, 33713",27.7671271,-82.6384451,Florida,,,,,2015,Entretenimiento,,,,
LNX58,Banana Republic,"7535, Southwest 88th Street",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
RQNPD,Publix,"19451, Cochran Boulevard",Flv3,Charlotte,"33948, 33952, 33981",26.8946009,-81.909826,BFIE,Placida,33946,26.8339094,-82.2624037,Florida,,,,,2015,Entretenimiento,,,,
I42H5,Sweets Plaza,"5135, International Drive",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2015,Entretenimiento,,,,
25SSL,Mobilezone,"20505, South Dixie Highway",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
HDUPM,The Florida Mall,"8001, South Orange Blossom Trail",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2015,Entretenimiento,,,,
MQ5TD,Lakeland Square Mall,"Mall Hill, Lakeland Square Mall",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2015,Entretenimiento,,,,
8AS1F,The Gardens Mall,"Gardens Mall, Palm Beach Gardens",WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,"33401, 33409, 33417",26.7144532,-80.0549456,Florida,,,,,2015,Entretenimiento,,,,
YMZZZ,East Towne Center,"CR 455, Castle Hill",AEmq,Lake,"32757, 32778, 34748",28.702847,-81.7787021,K8M9,Astor,32102,29.1624801,-81.5253491,Florida,,,,,2015,Entretenimiento,,,,
KE4XA,Lakeshore Mall,"901, US Highway 27 North",01NG,Highlands,"33825, 33852, 33870",27.3688418,-81.2518833,17WO,Avon Park,33825,27.5958672,-81.5061862,Florida,,,,,2015,Entretenimiento,,,,
3BKFT,The Shops at Wiregrass,"Legacy Boulevard, Wesley Chapel",A3xo,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,3JZK,Dade City,"33523, 33525",28.3647248,-82.1959178,Florida,,,,,2015,Entretenimiento,,,,
UCUR4,Southwest 169th Court,"Shoppes of Paradise Lakes, Miami-Dade",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
1UZPY,Great Clips TJ Maxx Plaza,"Florida's Turnpike Thru Lanes, Kendall",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2015,Entretenimiento,,,,
KR219,Justice,"Crosshill Boulevard, Oakleaf Town Center",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2015,Entretenimiento,,,,
M151C,Merchants Gate Drive,"Oakleaf Town Center, Jacksonville",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2015,Entretenimiento,,,,
4W1MP,Old Middleburg Road South,"Jacksonville, Duval",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2015,Entretenimiento,,,,
04GTW,Barber Shop,"Brideway Avenue, Jacksonville",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2015,Entretenimiento,,,,
4F35N,GNC,"Merchants Gate Drive, Oakleaf Town Center",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2015,Entretenimiento,,,,
