id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad
easG,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,IXoa,Ensley,32514,30.5188067,-87.2727509
L1Ph,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,S5LN,Estero,33928,26.438136,-81.8067523
gOgN,Holmes,"32425, 32427",30.8740806,-85.80766,GKmF,Esto,32425,30.9874036,-85.646044
isbN,Lake,"32757, 32778, 34748",28.702847,-81.7787021,Y9YT,Eustis,"32726, 32736",28.8527675,-81.6853534
3OkY,Collier,"34102, 34112, 34120",26.069985,-81.4278984,99Ir,Everglades City,34139,25.8582443,-81.3850695
lcVW,Nassau,"32034, 32046",30.5927334,-81.8224362,c6QS,Evergreen,32425,30.7002348,-81.7520502
i6od,Alachua,"32601, 32605, 32608",29.6579549,-82.3017728,hOVH,Evinston,32633,29.4869149,-82.2312099
Maqv,Marion,"34470, 34481, 34488",29.2787765,-82.12784,9NNp,Fairfield,32634,29.3669168,-82.2512093
d5hk,Levy,"32621, 32696",29.3178545,-82.820974,H3rH,Fanning Springs,32693,29.5907915,-82.9292906
RFFM,Hendry,"33440, 33935",26.6105319,-81.0754657,OzJL,Felda,33930,26.5397964,-81.4356323
A5jK,Indian River,"32960, 32963, 32966",27.6947732,-80.543845,5E4F,Fellsmere,32948,27.7676707,-80.6012658
W03B,Seminole,"32707, 32746, 32773",28.7131688,-81.2078164,BXef,Fern Park,32730,28.6486372,-81.3513336
iOiY,Nassau,"32034, 32046",30.5927334,-81.8224362,HN6L,Fernandina Beach,32034,30.6696818,-81.4625919
hsKq,Lake,"32757, 32778, 34748",28.702847,-81.7787021,SaT1,Ferndale,34715,28.6219425,-81.7034089
C3ke,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,8OV7,Ferry Pass,32514,30.5101959,-87.2124711
n3CI,Taylor,"32348, 32356",30.0993767,-83.6773928,jPPS,Fish Creek,32327,29.78611,-83.57222
CCAz,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,SSHB,Flagler Beach,32136,29.4749754,-81.1270035
3xh4,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,xs2Z,Flamingo,33034,25.1417914,-80.9253491
ORQh,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,JQAF,Flamingo Bay,33946,26.5720205,-82.1039813
qKxm,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,blqP,Flomaton,36441,30.9918489,-87.2574737
niAE,Putnam,"32177, 32148, 32131",29.6265157,-81.7787021,3CY0,Florahome,32140,29.7327446,-81.8834269
Lufy,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,B7WI,Floral City,34436,28.7499876,-82.2967581
qkBZ,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,cU3D,Florida City,33034,25.4478898,-80.4792237
QAmg,Charlton,,30.7917361,-82.0842901,WRZc,Folkston,31537,30.8305102,-82.0098375
ZKdV,Seminole,"32707, 32746, 32773",28.7131688,-81.2078164,x66t,Forest City,32703,28.6647207,-81.444379
lfaI,Hardee,"33873, 33890",27.4501733,-81.8224362,FgS9,Fort Green,33834,27.612222,-81.943611
QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,"33301, 33304, 33312",26.1224386,-80.1373174
plgj,Marion,"34470, 34481, 34488",29.2787765,-82.12784,3Hdq,Fort McCoy,32134,29.3649734,-81.9670322
sn10,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,B6LU,Fort Meade,33841,27.7522526,-81.8017491
rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,"33901, 33907",26.6409247,-81.8605575
ZrgU,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,6L54,Fort Myers Beach,33931,26.4520248,-81.948145
wFfR,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,yw5M,Fort Myers Shores,33905,26.7092357,-81.7459159
QjRS,DeSoto,"34266, 34269",27.2142078,-81.7787021,yIrK,Fort Ogden,34267,27.0872769,-81.9523078
7cQT,St. Lucie,"34952, 34983, 34986",27.3225563,-80.543845,P2TF,Fort Pierce,"34950, 34947",27.4467056,-80.3256056
CnKY,St. Lucie,"34952, 34983, 34986",27.3225563,-80.543845,sLag,Fort Pierce North,34946,27.4755636,-80.3575128
SxlD,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,I7MO,Fort Walton Beach,"32547, 32548",30.4200708,-86.6170308
zMWw,Columbia,"32024, 32025, 32055",30.1812696,-82.605118,IPAW,Fort White,32038,29.9232908,-82.7137327
Emt0,Bay,"32401, 32405, 32444",30.1805306,-85.684578,T538,Fountain,32438,30.4788051,-85.4196476
tI7a,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,ZeZX,Four Corners,"33896, 34747",28.3297393,-81.6318783
Ds4I,Levy,"32621, 32696",29.3178545,-82.820974,GTc1,Fowlers Bluff,32626,29.39639,-83.02444
WjWR,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,jYz0,Frances Terrace,32060,29.2141305,-81.0052358
ZERP,Nassau,"32034, 32046",30.5927334,-81.8224362,n7QJ,Franklintown,32034,30.55611,-81.44972
yyyJ,Walton,"32433, 32459, 32550",30.5640199,-86.1751759,PNDK,Freeport,32439,30.4982516,-86.1360517
r4xn,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,6KIV,Frostproof,33843,27.7458626,-81.5306313
6kdd,Lake,"32757, 32778, 34748",28.702847,-81.7787021,47TA,Fruitland Park,34731,28.8613765,-81.9064705
nSM1,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,ZTpV,Fullers Earth,32425,27.5197607,-82.5173183
rMnQ,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,pxqf,Fussels Corner,33823,28.0541869,-81.860636
ZWir,Alachua,"32601, 32605, 32608",29.6579549,-82.3017728,BX1N,Gainesville,"32601, 32608",29.6519563,-82.324998
DwlB,Hardee,"33873, 33890",27.4501733,-81.8224362,KhbK,Gardner,33875,27.35524,-81.806602
2TZm,Putnam,"32177, 32148, 32131",29.6265157,-81.7787021,AEKP,Georgetown,32139,29.3913622,-81.6386889
j2Dh,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,EPNS,Gibsonton,33534,27.8536365,-82.382593
bw8E,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,xPeC,Glen Ridge,33406,26.6695108,-80.0742086
SQnk,Baker,"32040, 32063",30.3931168,-82.3017728,MRp0,Glen St. Mary,32040,30.2757837,-82.1615179
4Kek,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,6dTt,Glencoe,32168,29.0216729,-80.9726924
6kVI,Collier,"34102, 34112, 34120",26.069985,-81.4278984,fFNs,Golden Gate,34116,26.1878667,-81.6950853
I9SP,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,tUMS,Golden Lakes,33411,26.699603,-80.1578876
foc9,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,4Mji,Golf,33436,26.5025039,-80.1065646
LHhj,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,vsiv,Gonzalez,32533,30.5815828,-87.2913629
IIF6,Collier,"34102, 34112, 34120",26.069985,-81.4278984,ra4Z,Goodland,34140,25.9248211,-81.6456412
pZN8,Walton,"32433, 32459, 32550",30.5640199,-86.1751759,Qb8m,Gordon,35004,30.8896284,-86.2799452
YjYQ,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,XRGI,Gotha,34734,28.5318035,-81.5228279
5PyH,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,fQ2X,Goulding,32501,30.4429752,-87.2224709
Od5v,Jackson,"32446, 32448",30.7150882,-85.1894045,5DWU,Graceville,32440,30.9568503,-85.5165993
fB16,Lake,"32757, 32778, 34748",28.702847,-81.7787021,36YB,Grand Island,32735,28.8824885,-81.7289657
Ral8,Jackson,"32446, 32448",30.7150882,-85.1894045,NG5P,Grand Ridge,32442,30.712879,-85.020203
Ztkw,Putnam,"32177, 32148, 32131",29.6265157,-81.7787021,oov4,Grandin,32138,29.7277446,-81.9184281
PbYt,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,9VKL,Grant-Valkaria,32949,27.939804,-80.571043
Bm5Z,Walton,"32433, 32459, 32550",30.5640199,-86.1751759,C7QG,Grayton Beach,32459,30.329817,-86.1650389
s0Qz,Clay,"32043, 32068, 32073",29.9943564,-81.7787021,ZKAD,Green Cove Springs,32043,29.9919085,-81.6781467
Bvnn,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,PyY6,Greenacres,33463,26.6276276,-80.1353896
BWPo,Gadsden,"32324, 32351",30.5562947,-84.6479124,xTGa,Greensboro,32330,30.5693597,-84.7432493
ZAC6,Madison,"32340, 32350",30.4586334,-83.5070203,19IU,Greenville,32331,30.4693739,-83.6301544
tbZb,Jackson,"32446, 32448",30.7150882,-85.1894045,GZ5T,Greenwood,32443,30.8701891,-85.1618737
73Rf,Gadsden,"32324, 32351",30.5562947,-84.6479124,TLDPKX,Gretna,32332,30.6171378,-84.6599145
61qo,Walton,"32433, 32459, 32550",30.5640199,-86.1751759,4Gam,Grosh,33857,30.3951994,-86.2827225
tfuT,Charlotte,"33948, 33952, 33981",26.8946009,-81.909826,GUe9,Grove City,34224,26.9142295,-82.3270394
eJXP,Lake,"32757, 32778, 34748",28.702847,-81.7787021,DGH7,Groveland,34736,28.5600357,-81.8565478
L1pL,Santa Rosa,"32533, 32561, 32570",30.7689907,-86.9824288,QK48,Gulf Breeze,"32561, 32563",30.3571438,-87.1638574
FOlg,Levy,"32621, 32696",29.3178545,-82.820974,VLid,Gulf Hammock,32639,29.2526738,-82.7233726
M0Cl,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,1gK3,Gulf Stream,33483,26.4936835,-80.0550417
gkF8,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,T7Op,Gulfport,33707,27.7483613,-82.7034334
WiNW,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,KLNW,Haines City,33844,28.1141841,-81.6178536
ws82,Lake,"32757, 32778, 34748",28.702847,-81.7787021,2MV7,Haines Creek,34788,28.8639227,-81.7783691
zIYg,Broward,"33004, 33301, 33324",26.190096,-80.365865,IuPc,Hallandale Beach,33009,25.9812024,-80.148379
KLWE,Madison,"32340, 32350",30.4586334,-83.5070203,btJI,Hamburg,32024,30.5657612,-83.5268196
lvvZ,Bradford,"32091, 32044",29.9723818,-82.1713632,WGTL5M,Hampton,32044,29.8644091,-82.1309371
L6CZ,Taylor,"32348, 32356",30.0993767,-83.6773928,2KLv,Hampton Springs,32348,30.0854902,-83.6548724
LM98,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,UuH4,Hamptons at Boca Raton,33496,26.3825767,-80.1858792
tHwE,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,2LO5ME,Hastings,32145,29.7180248,-81.5081338
dWBS,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,y5Iv,Haverhill,33415,26.6911767,-80.1200433
ckiC,Alachua,"32601, 32605, 32608",29.6579549,-82.3017728,2OM2,Hawthorne,32640,29.5919136,-82.0873181
HleR,Seminole,"32707, 32746, 32773",28.7131688,-81.2078164,E5yO,Heathrow,32746,28.7728194,-81.3701881
ZZHT,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,PN9O,Hernando,34442,28.8999815,-82.3745401
x9re,Hernando,"34601, 34608, 34609",28.5578826,-82.4752757,ZWvJ,Hernando Beach,34607,28.469443,-82.6592677
1i4t,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,Niit,Hesperides,33844,27.8841909,-81.4589626
gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057
XJSp,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,3Psf,Hidden Creek,32404,28.323358,-80.685052
6peS,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,sg0v,High Point,34613,27.9087205,-82.7128332
qyML,Alachua,"32601, 32605, 32608",29.6579549,-82.3017728,YGBL,High Springs,32643,29.8269064,-82.5967832
UP9O,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,KXWL,Highland Beach,33487,26.3995204,-80.0655977
SFTK,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,y8ht,Highland City,33846,27.9653015,-81.8778595
c12c,Gulf,"32456, 32465",29.9342893,-85.2308414,LYAD,Highland View,32456,29.837778,-85.315833
g9h5,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,hGQ9,Hillcrest Heights,33827,27.8245069,-81.5335865
rbxR,Nassau,"32034, 32046",30.5927334,-81.8224362,UA8J,Hilliard,32046,30.691068,-81.9173334
stld,Broward,"33004, 33301, 33324",26.190096,-80.365865,dNLR,Hillsboro Beach,33062,26.2939687,-80.0789318
TUdg,Franklin,"32320, 32322",29.7817695,-84.8567932,E1Y7,Historic Downtown Apalachicola,32320,29.7257675,-84.9832435
sPxs,Martin,"34994, 34997, 34957",27.0804935,-80.4103957,OGXR,Hobe Sound,33455,27.059498,-80.1364323
2lWh,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,eXUF,Holder,34445,28.9677829,-82.4224574
D1CU,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,DVM9,Holiday,"34690, 34691",28.18779,-82.7395454
ez86,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,1Jgn,Holly Hill,32117,29.2435916,-81.0375555
SHJO,Broward,"33004, 33301, 33324",26.190096,-80.365865,D3WC,Hollywood,"33019, 33020",26.0112014,-80.1494901
rVQp,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,RysA,Holmes Beach,34217,27.4953156,-82.7109329
q88U,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,JuFi,Holopaw,34773,28.135847,-81.07613
KlD2,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,5TC2,Holt,32564,30.7157457,-86.7457897
k3jK,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,vspF,Homeland,33847,27.8179529,-81.8260886
KXHY,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,7QG8,Homestead,"33030, 33033",25.4687224,-80.4775569
3cJG,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,4DS1,Homosassa,34448,28.7813722,-82.6151001
4EEC,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,4Ihl,Homosassa Springs,34446,28.8037059,-82.5761369
aM5h,Dixie,"32628, 32648",29.5207227,-83.1649001,LV5O,Horseshoe Beach,32648,29.4414118,-83.2873971
O6SX,Liberty,"32321, 32334",30.1507777,-84.8567932,SEUR,Hosford,32334,30.3868294,-84.7980966
gVID,Lake,"32757, 32778, 34748",28.702847,-81.7787021,GzIX,Howey in the Hills,34737,28.7139939,-81.7745339
7oPd,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,Y3QW,Hudson,34667,28.3644485,-82.6934343
3vf5,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,3nKz,Hunters Creek,32837,28.3605643,-81.4222934
cxJD,Marion,"34470, 34481, 34488",29.2787765,-82.12784,jQkA,Huntington,46750,29.17,-82.06194
7THJ,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,iLmN,Hurlburt Field,32544,30.4236556,-86.6949711
kg7C,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,I1iW,Hypoluxo,33462,26.5664588,-80.0533748
bcyy,Collier,"34102, 34112, 34120",26.069985,-81.4278984,ZWX9,Immokalee,34142,26.4185248,-81.4174057
GE9w,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,4GY1,Indialantic,32903,28.0894599,-80.5656079
ZEiB,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,CDC2,Indian Creek,33154,25.8776393,-80.1358342
MnKU,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,GPxA,Indian Harbour Beach,32937,28.1489021,-80.5883855
uqhI,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,5f16,Indian Lake Estates,33855,27.8139151,-81.3784053
pQku,Gulf,"32456, 32465",29.9342893,-85.2308414,2Gi7,Indian Pass,32456,29.6904903,-85.2643618
iLT3,St. Lucie,"34952, 34983, 34986",27.3225563,-80.543845,aIUK,Indian River Estates,34982,27.3644864,-80.3097717
8vG3,Indian River,"32960, 32963, 32966",27.6947732,-80.543845,Payv,Indian River Shores,32963,27.7166964,-80.3842173
4kPT,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,SOWC,Indian Rocks Beach,33785,27.8960019,-82.846561
llVN,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,03vv,Indian Shores,33785,27.862801,-82.8484373
Bkkl,Martin,"34994, 34997, 34957",27.0804935,-80.4103957,ZYPU,Indiantown,34956,27.0272756,-80.4856083
KOwd,Levy,"32621, 32696",29.3178545,-82.820974,DN4Y,Inglis,34449,29.0302514,-82.6687161
1LQ9,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,C6Gw,Intercession City,33848,28.2625124,-81.5078505
lggj,Putnam,"32177, 32148, 32131",29.6265157,-81.7787021,0LU1,Interlachen,32148,29.6238574,-81.8903684
H9V6,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,YQ9H,Inverness,"34450, 34452",28.8354507,-82.3313955
LG2U,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,QiZY,Inverness Highlands North,34453,28.8623588,-82.375022
R9hT,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,B5wR,Inverness Highlands South,34452,28.7995531,-82.3397635
VzdS,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,wSM4,Inwood,33880,28.0369654,-81.7650794
5hjb,Marion,"34470, 34481, 34488",29.2787765,-82.12784,zWzo,Irvine,32686,29.4055273,-82.2512098
1p8x,Clay,"32043, 32068, 32073",29.9943564,-81.7787021,eXvt,Isla Fleming,32003,30.0847449,-81.7183733
cCpN,Collier,"34102, 34112, 34120",26.069985,-81.4278984,PYxU,Isla de Marco,34145,25.9397412,-81.7075355
lVIJ,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,1IYA,Islamorada,33036,24.9242943,-80.6278364
CGCZ,Alachua,"32601, 32605, 32608",29.6579549,-82.3017728,ShUD,Island Grove,32654,29.4535825,-82.1064825
IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651
giRO,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,S906,Jacksonville Beach,32250,30.2841224,-81.3961338
WajV,Jackson,"32446, 32448",30.7150882,-85.1894045,uCcr,Jacob City,32431,30.9007935,-85.4117608
b0ii,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,n3eo,Jan Phyl Village,33880,28.0250005,-81.7951054
gpHN,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,HLiq,Jardines Hialeah,33016,25.8848318,-80.3098793
ATUs,Hamilton,"32052, 32053",30.4755958,-82.9501558,L1IB,Jasper,32052,30.5182727,-82.94819
cfhR,Santa Rosa,"32533, 32561, 32570",30.7689907,-86.9824288,NJY4,Jay,32565,30.9529611,-87.151359
9prV,Dixie,"32628, 32648",29.5207227,-83.1649001,YXyb,Jena,32359,29.6635601,-83.3701375
51Qn,Hamilton,"32052, 32053",30.4755958,-82.9501558,TCOQ,Jennings,32053,30.6039535,-83.0981618
fsbX,Martin,"34994, 34997, 34957",27.0804935,-80.4103957,FSVP,Jensen Beach,34957,27.2544906,-80.2297697
1H5B,Alachua,"32601, 32605, 32608",29.6579549,-82.3017728,A0KK,Jonesville,32669,29.6541327,-82.5231662
iWHL,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,4r0M,June Park,32904,28.0753255,-80.6860858
IhzX,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,tw5E,Juno Beach,33408,26.8797819,-80.0533743
W8VA,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,QcTp,Juno Isles,33408,26.8636713,-80.0608746
ejxS,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,MWac,Juno Ridge,33408,26.8481162,-80.0622636
XEE6,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,C38Y,Jupiter,"33458, 33469",26.9342246,-80.0942087
Eatb,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,lI1Q,Jupiter Inlet Colony,33469,26.9478705,-80.0744458
0L9f,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,TAB7,Kathleen,33849,28.1208502,-82.023138
pyYM,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,OJFG,Kenansville,34739,27.8764614,-80.9882554
uThf,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,G28N,Key Biscayne,33149,25.693713,-80.1628248
8QAo,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,3Hiy,Key Colony Beach,33051,24.7209744,-81.0186827
8YMZ,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,2EOP,Key Largo,33037,25.0926205,-80.44204
j7LR,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,4S46,Key West,33040,24.5550593,-81.7799871
8PHG,Clay,"32043, 32068, 32073",29.9943564,-81.7787021,PLEY,Keystone Heights,32656,29.7860769,-82.0314892
Zfmg,Calhoun,"32421, 32424",30.3475302,-85.1894045,0lBg,Kinard,32449,30.2807522,-85.2638064
5kUu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,k0ma,Kings Point,33484,26.4453521,-80.1397664
0i1w,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,2Zjz,Kingsland,31548,26.4636847,-80.1028209
3aGT,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,110N,Kissimmee,"34741, 34744",28.2955867,-81.4039314
Zf5Y,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,SqEQ,Korona,32164,29.4069212,-81.1964501
4ezC,Alachua,"32601, 32605, 32608",29.6579549,-82.3017728,7eAt,La Crosse,32658,29.8432977,-82.404833
MyQT,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,Xa2c,La Habana,32333,25.7725718,-80.2310072
ol4k,Hendry,"33440, 33935",26.6105319,-81.0754657,wA92,LaBelle,33935,26.7617322,-81.4384092
qK3h,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,8NTE,Lacoochee,33537,28.4673536,-82.1706258
exvD,Lake,"32757, 32778, 34748",28.702847,-81.7787021,ZAA1,Lady Lake,32159,28.9174855,-81.9228604
sSnJ,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,YM4C,Lago Mary,32746,28.3724993,-81.1775059
PjPa,Bay,"32401, 32405, 32444",30.1805306,-85.684578,9RQa,Laguna Beach,32413,30.2396463,-85.9241025
ngVE,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,2SJM,Lake Alfred,33850,28.091963,-81.7234114
m8PO,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,lZMJ,Lake Buena Vista,32830,28.3695351,-81.5261474
oJdJ,Union,"32054, 32083",30.0745112,-82.345189,Z06I,Lake Butler,32054,30.0227391,-82.3395574
fHgv,Columbia,"32024, 32025, 32055",30.1812696,-82.605118,70VM,Lake City,"32024, 32025",30.1893883,-82.6394016
NhyB,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,Ge0z,Lake Clarke Shores,33406,26.6453449,-80.0758754
0ar1,Putnam,"32177, 32148, 32131",29.6265157,-81.7787021,iEjL,Lake Como,32157,29.4838608,-81.572854
6C7R,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,KCFJ,Lake Fern,33556,28.14944,-82.57972
izxH,Clay,"32043, 32068, 32073",29.9943564,-81.7787021,8CVi,Lake Geneva,32160,29.7721882,-82.0100997
5QL9,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,QE7T,Lake Hamilton,33851,28.0444644,-81.6278544
v1mq,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,UDEn,Lake Harbor,33459,26.693122,-80.8145058
fKGB,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,I53C,Lake Helen,32744,28.9808195,-81.2333936
5XdP,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,IsMY,Lake Lorraine,32579,30.4415879,-86.5652296
AkfR,Sumter,"33513, 33585, 34785",28.6747526,-82.0842901,RJHY,Lake Panasoffkee,33538,28.7876707,-82.1332818
ijFD,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,Gqg7,Lake Park,33403,26.8003398,-80.0664305
ptvZ,Highlands,"33825, 33852, 33870",27.3688418,-81.2518833,YN2Z,Lake Placid,33852,27.2930999,-81.3628502
pqlg,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,NGBG,Lake Wales,"33853, 33859",27.9014133,-81.5859099
ppCW,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,86T4,Lake Worth,"33460, 33461",26.6167555,-80.0684479
LniL,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,lmZM,Lake Worth Corridor,33461,26.6163576,-80.1051882
bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042
X7qO,Glades,"33471, 33935",26.984415,-81.0754657,5mmm,Lakeport,33471,26.97611,-81.1275
U8ow,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,YO4L,Lakeshore,33854,27.8572471,-81.4125727
z6gV,Walton,"32433, 32459, 32550",30.5640199,-86.1751759,CUxx,Lakewood,32425,30.98863,-86.2817759
Eucx,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,OKzi,Lakewood Ranch,34202,27.4117037,-82.4285151
emx8,Jefferson,"32344, 32336",30.4311978,-83.8897057,W4BD,Lamont,32336,30.3775455,-83.8168053
206O,Franklin,"32320, 32322",29.7817695,-84.8567932,EKeE,Lanark Village,32323,29.8835413,-84.5957358
OcUC,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,gRLr,Land O' Lakes,34639,28.2188992,-82.4575938
8aX0,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,7abQ,Lantana,33462,26.5867358,-80.0519859
e3jL,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,LIFE,Largo,"33770, 33771",27.9094665,-82.7873244
Ybor,Broward,"33004, 33301, 33324",26.190096,-80.365865,zqlO,Lauderdale-by-the-Sea,33308,26.192028,-80.0964326
R95y,Broward,"33004, 33301, 33324",26.190096,-80.365865,Sbas,Lauderhill,"33313, 33319",26.1403635,-80.2133808
1fNY,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,xeI5,Laurel,34272,27.1303319,-82.453152
2n6o,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,J9KF,Laurel Hill,32567,30.965737,-86.4596718
iHQh,Bradford,"32091, 32044",29.9723818,-82.1713632,OB1G,Lawtey,32058,30.0441284,-82.0717733
DP3P,Monroe,"33036, 33040, 33050",25.2974483,-81.0754657,kSBV,Layton,33001,24.8240255,-80.8136783
MF9p,Citrus,"34429, 34448, 34465",28.8848842,-82.5185837,DYJP,Lecanto,34461,28.8516486,-82.4875981
NX9m,Madison,"32340, 32350",30.4586334,-83.5070203,OO78,Lee,32059,30.4196584,-83.3004216
en2X,Lake,"32757, 32778, 34748",28.702847,-81.7787021,L98X,Leesburg,"34748, 34788",28.810823,-81.8778582
QYht,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,KXKM,Lehigh Acres,"33936, 33971",26.6253497,-81.6248026
